02_03_01_Entity Name,03_01_04_Date(s) Breach Occurred (start),Completed Date,03_01_02_Total number of Maine residents affected,03_01_01_Total number of persons affected (including Maine residents)
"OR Nurses Credentialing c/o Data Facts, Inc.",10/19/2018,1/23/2019,1,95
4A's Benefits on behalf of Entities listed in Exhibit 1,12/6/2017,1/23/2019,2,5370
Valley Hope Association,October 9 2018,1/23/2019,15,70799
"Capital City Bank Group, Inc.",January 2 2019,1/23/2019,2,11011
"ALM Media, LLC",July 7 2018 ,1/23/2019,2,933
"DiGiovine, Hnilo, Jordan + Johnson Ltd (""DHJJ"")",4/23/2018,1/24/2019,1,Not stated
Silicon Valley Bank,12/11/2019,1/24/2020,1,37
AmeriHealth Caritas Health Plan,November 15 2019,1/24/2020,3,35967
Test Entity,01/26/2019,1/26/2019,10,10
nbkc bank,May 24 2019 ,1/26/2020,1,1639
Lutheran Life Communities,December 14 2018,1/28/2019,1,4794
"Discover Card , o/b/o Hamer Nutrition Direct, Newegg Computer, Plant Therapy, Robert Brooke & Associates, Sierra Nevada Brewing, & Teeter",December 1 2018,1/28/2019,Unknown,Unknown
"Wisconsin Health Care LIability Insurance Plan by Wausau MedMal Management Services, LLC",November 4 2018,1/28/2019,1,1432
Nova Southeastern University,September 1 2018,1/28/2019,3,4681
AdventHealth Medical Group,8/1/2017,1/28/2019,14,29621
"Personal Touch Holding Corp. and its direct and indirect subsidiaries Personal Touch Home-Aides Inc., Personal Touch Home Care of Greater Portsmouth, Inc., and Personal Touch Home Care of VA, Inc.",12/1/2019,1/28/2020,3,169303
Stone Mountain Memorial Association,April 20 2019,1/28/2020,1,205
"Massey Services, Inc.",October 4 2019,1/28/2020,2,10070
"Massey Services, Inc.",October 4 2019,1/28/2020,2,1070
Calibre CPA Group,3/11/2019 ,1/28/2020,32,62114
"DEFENDERS, Inc.",August 1 2018 ,1/29/2019,5,3382
NCH Corporation,1/1/2016,1/29/2019,7,4171
Sensata Technologies,January 2 2019,1/30/2019,3,2379
"Gaines CPAs, PLLC",10/23/2018,1/30/2019,1,400
"RevolutionParts, Inc.",11/08/2018,1/30/2019,11,2190
Upright Law LLC,7/27/2018 ,1/31/2019,56,13003
"Dr. DeLuca, Dr. Marciano & Associates (P.C.) (""DMA"")",November 29 2018,1/31/2019,15,23578
"Golden Entertainment, Inc.",05/30/2019 ,1/31/2020,9,17083
"Oostra Rouw & Associates, Inc.",12/26/2019,1/31/2020,1,2376
"Enservio, Inc.",6/5/2018,1/8/2019,2,490
"SharesPost, Inc.",September 6 2019 ,1/8/2020,15,Unknown
National Holdings Corporation,9/11/2019,1/9/2020,2,4286
American Outdoor Brands Corporation,11/27/2019 ,1/9/2020,2,744
"Drury Hotel Company, LLC",12/28/2017 ,10/1/2019,8,166542
University of Vermont,5/17/2017 ,10/1/2019,2,68
"Kearns, Brinen & Monaghan",10/15/2018,10/1/2019,1,444
"CNU Online Holdings, LLC d/b/a CashNetUSA",October 7 2019 ,10/11/2019,3,56
Art.com,7/5/2019,10/11/2019,5,2078
"Capital One, N.A.",12/1/2018,10/11/2019,13,2091
Levy Premium Foodservice Limited Partnership,09/27/2019,10/12/2019,1,50
Princeton Insurance Agency,06/03/2019,10/15/2019,2,3166
Nutraceutical Wellness Inc. dba Nutrafol,April 10 2019,10/16/2019,44,21405
Humana Inc.,8/27/2019,10/17/2019,1,1855
Granite State College,October 3 2019,10/17/2019,216,209
"Eye Buy Direct, Inc.",September 1 2018,10/18/2019,4120,756322
"Farm Credit East, ACA",10/11/2019,10/18/2019,1,1
Fix My Blinds,03/14/2019 ,10/21/2019,66,18743
"Cornerstone Benefits, Inc.",May 7 2019,10/21/2019,3,2991
"Youth For Christ USA, Inc.",June 24 2019 ,10/21/2019,2,873
St. Lucie West District Services,7/24/2019 ,10/23/2019,1,1069
"L&M Supply, Inc.",July 29 2019 ,10/23/2019,5,665
Delta Dental of Illinois,8/3/2019,10/25/2019,2,24425
BookShark LLC,03/11/2019 ,10/26/2019,31,3524
Sweetser,06/18/27 ,10/27/2019,19816,22309
"Auto Approve, LLC",08/29/2019 ,10/28/2019,273,93759
Dominion Energy Credit Union,May 14 2019,10/28/2019,2,2662
Liberty Healthcare Corporation,July 29 2019,10/29/2019,21,907
"Web.com Group, Inc.",08/22/2019,10/29/2019,2752646,13711
"Draper, Inc.",5/24/2019,10/3/2019,1,89
"Citibank, N.A.",9/17/2019,10/3/2019,1,1
"Amerman, Ginder & Co.",07/08/2019,10/30/2019,1,580
"Hy-Vee, Inc.",11/09/2018 ,10/31/2019,17,unknown
"Title Boxing, LLC",May 16 2019 ,10/31/2019,20,10762
Nelnet Loan Servicing,10/18/2019,10/31/2019,1,301
"The Methodist Hospitals, Inc.",3/13/2019,10/4/2019,1,68039
The Professional Golfers' Association of America,12/7/2018 ,10/4/2019,1,576
"American Express Travel Related Services Company, Inc. and/or its Affiliates",Unknown ,10/4/2019,4,1083
"BLA Partners, LLC dba Aspenti Health",02/1/2019,10/7/2019,11,501
The McKeogh Company,Please see Exhibit 1.,10/9/2019,14,6161
Hunt Memorial Hospital District,May 18 2018,10/9/2019,30,323832
Juniata College,3/12/2019,11/1/2019,6,1170
"Aptevo Therapeutics, Inc.",September 12 2019,11/1/2019,3,310
"Solara Medical Supplies, LLC",4/2/2019 ,11/13/2019,16,114227
"Jones Street Residential, Inc.",July 16 2019 ,11/13/2019,7,273
"C.C. Filson, Co.",September 18 2019,11/13/2019,2,307
"Green Roads of Florida, LLC",July 9 2019,11/14/2019,234,41422
"Healthcare Administrative Partners, LLC",6/26/2019,11/14/2019,4,200
macys.com,10/07/2019,11/15/2019,355,135152
Drake Software,04/02/2019,11/18/2019,1,626
Legg Mason,09/18/2019,11/18/2019,1,22
"CAH Holdings, Inc.",March 25 2019,11/18/2019,15,7974
Nutraceutical Wellness Inc. dba Nutrafol,4/10/2019,11/2/2019,44,21405
"ARINC, Incorporated",October 7 2019,11/20/2019,3,1496
"Credere Associates, LLC",unknown 08/09/2019,11/20/2019,17,23
Century 21 Department Stores LLC,08/27/2019 ,11/21/2019,7,7213
"Russell, Brier & Co. LLP",07/31/2019,11/21/2019,1,132
"Russell, Brier & Co. LLP",July 31 2019,11/21/2019,1,132
Cadence Aerospace,October 24 2019,11/22/2019,1,3421
"Nespresso USA, Inc.",08/01/2019 ,11/25/2019,4,939
"Blauer Manufacturing Co., Inc.",9/26/2019,11/25/2019,3,1157
Arthur J. Gallagher & Co.,March 15 2019,11/26/2019,37,3330
"The UPS Store, Inc.",10/11/2019,11/27/2019,3,6400
Indiana Trust and Investment Management Company,August 12 2019,11/27/2019,5,6814
"SunTrust Banks, Inc.",09/28/2019,11/27/2019,1,8
"Choice Hotels International, Inc.",06/01/2015 ,11/29/2019,326,88295
Beer Industry Benefit Funds,1/28/2019,11/29/2019,1,7689
Pennsylvania Real Estate Investment Trust,12/08/2018 ,11/4/2019,5,919
Aeroflow Online,8/1/2018,11/4/2019,3,1389
"Attunity, Inc.",On or before May 16 2019,11/4/2019,1,409
Wolff Shoe Company,3/11/2019,11/6/2019,5,5084
Woodforest National Bank,2/12/2019 ,11/6/2019,4,12725
"Arizona Dental Insurance Service, Inc. d.b.a. Delta Dental of Arizona",07/08/2019,11/8/2019,1,12886
Yale New Haven Health,07/03/2019 ,11/8/2019,16,27007
First Aid Beauty Limited,4/15/2019,11/8/2019,111,21486
Aegis Medical Group,7/24/2019 ,11/8/2019,4,9800
The Town of New Milford,4/18/2019,12/10/2019,3,365
"CMG CIT Acquisition, LLC dba Core Medical Group",August 29 2019,12/10/2019,4,478
"Insero & Co., CPAs, LLP",July 16 2019,12/10/2019,2,760
Ludus LLC,1/8/2018,12/10/2019,29,6315
LPL Financial LLC,November 1 2018,12/11/2018,2313,270000
"American Association of Nurse Anesthetists (""AANA"")",5/23/2019,12/11/2019,7,787
Zazzle Inc.,November 8 2019,12/12/2019,3,1826
Woodman & Eaton P.C.,July 29 2019 ,12/12/2019,4,571
Sweaty Betty Limited,11/19/2019,12/13/2019,3,7701
"ShopRunner, Inc.",11/18/2019,12/13/2019,7,2495
"Beverages & More, Inc. dba BevMo!",8/2/2018,12/14/2018,2,14519
"Robert Graham Designs, LLC",9/27/2018,12/14/2018,2,1001
"Laudisi Enterprises, Inc., d/b/a SmokingPipes.com",11/13/2019,12/16/2019,2,722
"OTB Acquisition, LLC dba On The Border Mexican Grill & Cantina",April 10 2019 ,12/16/2019,Unknown,Unknown
"Current Reviews for Nurse Anesthetists, LLC",10/13/2019,12/16/2019,2,608
Stikeman Elliott LLP,September 16 2019,12/16/2019,1,30
The Master's Touch,10/23/2019,12/16/2019,99,207151
trrstysrtrt,10/23/2019,12/16/2019,99,207151
Symantec Corporation,March 8 2018,12/17/2018,1,30
Metropolitan Life Insurance Company,September 10 2018,12/17/2018,1,104
"Preservation Management, Inc.",03/21/2019 ,12/17/2019,740,8598
"Rooster Teeth Productions, LLC",12/2/2019,12/17/2019,14,1892
Millennium Healthcare Group,06/14/2019 ,12/17/2019,10,32022
Franciscan University of Steubenville,10/1/2018,12/18/2018,7,2400
"Viyet, LLC dba Sotheby's Home",Unknown,12/18/2018,11,6156
"Piech Sales Company, LLC dba ValuePetSupplies.com",June 7 2018 ,12/19/2018,52,11972
"Five Guys Holdings, Inc. and its subsidiaries",5/23/2018,12/19/2018,4,11702
Rosenberg & Manente,June 5 2018,12/19/2018,7,1587
"1873349 Ontario, Inc.",June 1 2016,12/19/2018,50,74548
"Marriott International, Inc.",Since 2014,12/19/2018,Not yet determined,500000000
"Wawa, Inc.",3/4/2019 ,12/19/2019,unknown,unknown
"InterMed, P.A.",9/6/2019,12/19/2019,145,147
Exploration School,October 29 2019,12/19/2019,1,64
Oncologie Inc.,08/13/2019,12/19/2019,2,45
"Sealcoating, Inc. d/b/a Indus",06/15/2019,12/2/2019,9,1107
"Kestra Investment Services, LLC",11/1/2018,12/20/2018,11,4972
"Capital One, National Association",9/4/2018 ,12/20/2018,4,20675
"Walters and Mason Retail, Inc. d/b/a Altar'd State",8/15/2018 ,12/20/2018,5,8151
A.O.S. #77,November 21 2018,12/20/2018,1285,1285
A.O.S. #77,November 21 2018,12/21/2018,1285,1285
"Federal Group, Inc. t/d/b/a Clarion Hotel & Conference Center, Shepherdstown, WV",November 27 2018,12/21/2018,1,125
"Jambav, Inc.",Unknown beginning date up to website shutdown on November 11 2019,12/23/2019,6627,6100000
"Saul Ewing Arnstein & Lehr, LLP",04/14/2019 ,12/23/2019,2,139
"Avid Technology, INc.",10/8/2018 ,12/24/2019,5,1870
"BEL USA, LLC through its website DiscountMugs.com",August 5 2016 ,12/26/2018,310,70244
Xpedient Logistics,04/25/2019 ,12/26/2019,2,1186
"Ronin Gallery, LLC",12/29/2017,12/28/2018,1,194
Turner Construction Company,9/13/2018,12/28/2018,1,929
Luzerne Bank,9/13/2018,12/28/2018,1,Not specified
"Titan Manufacturing and Distributing, Inc.",11/23/2017,12/28/2018,507,65798
"Harley-Davidson Motor Company, Inc.",8/27/2018,12/28/2018,7,959
General Dynamics Information Technology,10/31/2018 ,12/28/2018,35,8239
"Vega US., LLC",Not specified,12/28/2018,2,135
"Backcountry Edge, Inc.",11/24/2018,12/28/2018,3,643
Blauer Manufacturing Co.,September 13 2018 ,12/30/2018,1,374
North Park Unviersity,08/08/2019,12/30/2019,10,6331
"HelloTech, Inc.",04/08/2019,12/30/2019,14,5633
FC Compassus LLC,8/27/2019,12/30/2019,1,9
"ACTIVE Network, LLC",10/1/2019 ,12/30/2019,1,30090
Hammer Nutrition,1/1/2018 ,12/31/2018,166,Not stated
Springstone Financial,Not stated,12/31/2018,16,Not stated
"Sunquest Information Systems, Inc.",November 6 2018,12/31/2018,1,600
Intuit Inc.,On or before 11/20/2018,12/31/2018,2,2
"Legalinc Corporate Services, Inc. (as data maintainer) on behalf of Stripe GEP, Inc. (as data owner)",10/25/2017,12/31/2019,5,2670
Evolucion Innovations Inc.,11/8/2019 ,12/31/2019,477,46602
Maine School Administrative District No. 6,November 30 2019,12/4/2019,Currently unknown,Currently unknown
"Dunkin' Brands, Inc.",Unknown,12/6/2018,2857,175221
Town of Christiansburg,May 17 2018 ,12/6/2018,1,909
Prosper,October 3 2018,12/6/2018,18,3115
"British Airways, Plc",8/21/2018,12/6/2018,71,429000
"Chamberlain Group, Inc",10/16/2017,12/6/2018,2,580
"TDC Virginia Benefits & Risk Management, Inc.",08/09/2019 ,12/6/2019,1,2099
"Equinox, Inc.",06/06/2019 ,12/6/2019,1,1231
FCN Banc Corp.,7/23/2019 ,12/6/2019,2,2492
Ferro Corporation,05/29/2019,12/6/2019,2,497
Adopt a Highway Maintenance Corporation,October 23 2018,12/7/2018,1,405
Saint Mary's Regional Medical Center,4/29/2016,12/9/2019,1,1
"CJGO Fulfillment, Inc. DBA CoffeeAM",January 16 2019 ,12/9/2019,95,17000
glassybaby LLC,11/15/2019,12/9/2019,2,517
Marbucco Corp dba Granite State Glass,October 25 2018,2/1/2019,3,130
"Image-I-Nation Technologies, Inc.",11/01/2018,2/1/2019,636,430139
Beatitudes Campus,July 29 2019,2/10/2020,2,5316
Katz Sapper & Miller,11/11/2018,2/11/2019,11,9666
"Dunkin' Brands, Inc.",Unknown,2/11/2019,32,1109
"Town of Concord, Massachusetts",01/28/2019 ,2/11/2019,1,327
"City of Fremont, Nebraska",8/31/2019 ,2/11/2020,1,2504
"Stanwich Mortgage Loan Trust A, C, and D",2/1/2018,2/12/2019,See Exhibit 1,53829
Truluck’s Restaurant Group,11/4/2018 ,2/12/2019,1,13422
Truluck’s Restaurant Group,11/04/2018 ,2/12/2019,1,13422
Capital One,09/18/2017,2/12/2019,8,2187
Terlato Wine Group,08/22/2019 ,2/12/2020,3,485
Old Port Advisors,1/10/2019,2/13/2019,6,8
"Surgical Information Systems, LLC",10/31/2018,2/13/2019,5,885
TrueFire LLC,8/3/2019 ,2/13/2020,26,8190
North 40 Outfitters,02/02/2018 ,2/14/2019,See Exhibit 1,18957
"Five Below, Inc.",11/13/2018,2/14/2019,188,56102
Aveanna Healthcare,July 9 2019,2/14/2020,21,90021
"NCH Healthcare System, Inc.",June 5 2019,2/14/2020,3,54234
Peregrine Corporation d/b/a PSL Services,12/16/2019 ,2/14/2020,Unknown,Unknown
"PCP Group, LLC dba Pellon Consumer Products",September 6 2019 ,2/14/2020,1,182
Hourlgass,July 3 2018,2/15/2019,27,9626
"FirstLease, Inc",September 6 2018,2/15/2019,3,564
"Print EZ, Inc.",09/01/2018,2/15/2019,Unknown,Unknown
Stanadyne LLC,09/22/2018 ,2/15/2019,4,1142
"Pharmacy Times Office of Continuing Professional Education (""PTCE"")",7/6/2018,11/13/2018,798,134496
Akwa Vista LLC,05/11/2018 ,2/15/2019,1,81
Pacific Guardian Life Insurance Company Limited,11/4/2019,2/17/2020,3,55840
"TrueDialog, Inc.",11/20/2019,2/17/2020,1,395
Group O Inc.,1/30/2020,2/18/2020,2,1111
Nelnet Inc.,January 8 2019,2/19/2019,1,1
Middle Tennessee School of Anesthesia,2012,2/19/2019,5,2400
Wentworth Institute of Technology,09/08/2018,2/19/2019,47,3926
Insurance Recovery Group,10/17/2019 ,2/19/2020,12,1610
ENGIE North America Inc.,01/31/2020 ,2/19/2020,2,374
Advocate Aurora Health (“AAH”),January 1 2009,2/19/2020,18,176000
"This notice is being provided by Tablet Inc., in coordination with our client hotels.  Please see attached individual notification letter for details.",10/24/2019,2/19/2020,2,577
Intuit Inc.,February 3 2020 ,2/20/2020,4,4
"Frobenius, Conaway & Company, P.C.",09/23/2019 ,2/20/2020,1,980
Certain businesses who use ADP as a service provider,1/24/2020 ,2/20/2020,16,4702
Rennline Automotive,5/28/2018 ,2/21/2019,4,2540
"Direct Distributors, Inc.",1/1/2018 ,2/21/2019,17,2437
"Heifer International c/o Data Facts, Inc.",10/19/2018,2/21/2019,1,16
"The Topps Company, Inc.",November 18 2018 ,2/21/2019,30,5700
"Lancaster Archery Supply, Inc.",12/9/2019 ,2/21/2020,33,6691
"Welk Resort Group, Inc.",07/24/2018,2/22/2019,1,1872
Broadstone Real Estate LLC,January 11 2019 ,2/22/2019,1,62
Intuit Inc.,On or before 1/30/2019 ,2/22/2019,4,4
"Control Consultants, Inc.",3/23/2017,2/22/2019,34,539
Prominent Title Agency,April 22 2019 ,2/22/2020,1,5415
Eastern Virginia Medical School,Unknown,2/24/2020,1,3032
"VibrantCare Rehabilitation, Inc.",8/20/2019,2/24/2020,1,1668
Boston College High School,08/03/2019 ,2/24/2020,1,613
Armor Games Inc.,1/1/2019,2/25/2019,unknown,11000000
AFTRA Retirement Fund,10/24/2019 ,2/25/2020,67,57207
PEF Services LLC,November 1 2019 ,2/25/2020,1,2397
"Evergreen Alliance Golf Limited, L.P.",August 15 2018 ,2/26/2019,2,14868
UConn Health,August 20 2018 ,2/26/2019,338,326629
"DiPardo Eremic & Co., P.C.",N/A,2/26/2019,2,1098
Abundant Health,6/5/2018,2/26/2019,1,32
Moss Adams LLP,10/8/2019 ,2/26/2020,1,7382
Maine Community Health Options,2/4/2020,2/26/2020,3,3
Florida Keys Community College,05/05/2018,2/27/2019,3,4492
Futureceuticals,6/2/2017,2/27/2019,2,322
AETREX WORLDWIDE,5/2/2018,2/27/2019,6,459
RailWorks Corporation,1/27/2020,2/27/2020,35,23751
Bamboo HR LLC,2/11/2019,2/28/2019,1,2497
"ShareThis, Inc.",See Exhibit 1,2/28/2019,unknown,1900000
Phillip Capital Inc.,February 28 2018,2/28/2019,9,7043
Abbott Laboratories,January 9 2019 ,2/5/2019,11,16600
Regional School Unit No. 24,January 20 2019,2/6/2019,Unknown at this time,Unknown at this time
"Helen of Troy, LP",11/30/2018 ,2/6/2019,1,203
Graf & Sons Inc.,1/19/2019,2/6/2019,34,1243
"Don Best Corporation, a subsidiary of Scientific Games Corporation",10/12/2018 ,2/6/2019,135,58000
"Capital One, N.A.",August 27 2019 ,2/6/2020,3,899
"American Tire Distributors, Inc.",January 9 2019,2/7/2019,3,257
Marquette Management,10/3/2018 ,2/8/2019,1,1917
"Aspire Financial Services, LLC",12/05/2018 ,2/8/2019,1,6431
American Cancer Society,01/08/2019,3/1/2019,39,8716
NEWEGG COMPUTER,8/13/2018,3/1/2019,36,10953
Forever 21,4/13/2017,3/1/2019,1,2543
Caribou Coffee Company,8/27/2018,3/1/2019,1,544
"Direct Scripts, Inc.",1/30/2019,3/1/2019,433,9319
"Choctaw Global, LLC",07/13/2019 ,3/10/2020,1,1492
"Cygnus Home Service, LLC d/b/a Schwan's Home Service",1/28/2020,3/10/2020,32,4127
Stair Galleries & Restoration Inc.,06/05/2018 ,3/11/2019,2,450
Woods & Woods LLC,1/15/2020,3/11/2020,73,51560
ABM Industries Incorporated,1/8/2018 ,3/12/2019,2,42366
University of Mary,January 9 2019,3/12/2019,1,146
Harland Clarke Corp.,1/30/2019,3/12/2019,2,230
"Greater Washington Educational Telecommunications Association, Inc.",3/20/2019 ,3/12/2020,5,287
Benchmark Education Company,07/02/2019 ,3/13/2020,3,1227
Chesapeake Bank of Maryland,November 3 2019,3/13/2020,2,1458
Sceptre Hospitality Resources,January 22 2020 ,3/13/2020,5,883
Delta Dental of Arizona,July 8 2019,3/13/2020,3,27593
"BGGMC, LLC / Hotel Contessa",February 18 2020 ,3/13/2020,9,3306
General Electric Company (“GE”),February 3 2020 ,3/13/2020,1,139
"James Perse Enterprises, Inc.",02/09/2019,3/14/2019,1,684
"Yaculta Companies, Inc.",9/1/2018 ,3/14/2019,2,811
"j2 Cloud Services, LLC",01/27/2019,3/14/2019,5,3097
Rutland Regional Medical Center,11/2/2018 ,3/15/2019,4,72224
Cherrydale Fundraising,10/28/2018,3/15/2019,20,13061
First Federal Bank and Trust,5/29/2019,3/16/2020,3,8450
"Avalon Health Care Management, Inc.",June 17 2019 ,3/16/2020,2,13428
"Tandem Diabetes Care, Inc.",01/17/2020 ,3/17/2020,15,140838
Town of Houlton Police Department,01/25/2019,3/17/2020,71,95
"flexPATH Strategies, LLC",12/7/2018,3/18/2019,37,60862
Sheet Metal Workers’ Local Union No. 104,2/5/2019,3/18/2019,1,5047
"Eye Buy Direct, Inc.",January 24 2019,3/19/2019,8,797
Steele County,September 17 2019 ,3/19/2020,2,6659
"J.Crew Group, Inc.",April 1 2019,3/2/2020,27,9415
Elk Ridge Dentistry,01/19/2020,3/2/2020,3,2793
"Cremation Society of Pennsylvania, Inc.",February 12 2019,3/20/2019,9,24168
Pennsylvania Lumbermens Mutual Insurance Company,November 20 2018,3/20/2019,5,1364
"Family Ford, Inc. (d/b/a Family Ford of Enfield, Inc.)",02/05/2020,3/20/2020,1,760
General Electric Company,February 3 2020 ,3/20/2020,52,10275
Western Technical College,10/10/2018 ,3/21/2019,5,28835
"TriBike Transport, LLC",11/19/2018,3/22/2019,2,2495
Tower Legal Solutions,10/3/2018,3/22/2019,2,1559
"Navicent Health, Inc.",3/22/2018,3/22/2019,13,123353
"Ciccone, Koseff & Company",2/11/2020,3/23/2020,2,1783
"Enerco Group, Inc.",10/31/2019,3/23/2020,18,2238
"eImprovement, LLC",12/14/2019,3/24/2020,46,5945
Superior Dental Care,12/21/2018,3/25/2019,2,38300
"Brighton Collectibles, LLC",1/28/2019,3/25/2019,18,4550
International Vapor Group,January 18 2018 ,3/25/2019,39,7656
"Bonny L. Hutchins,Reynolds,House,Buzzell",All criminal background data,3/25/2020,Unknown,100
"Total Quality Logistics, LLC",October 1 2019,3/25/2020,25,8200
"Williams-Sonoma, Inc.",October 5 2018 ,3/26/2019,1,8
"Technique Golf, LLC dba Super Stroke USA",4/26/2019,3/26/2020,13,4131
"Northeast Philadelphia Vascular Surgeons, P.C.",December 13 2018,3/27/2019,1,8193
Life Equity LLC,11/13/2018 ,3/27/2019,1,361
Vistra Energy,March 1 2019,3/27/2019,1,80
"Nature's Way Brands, LLC",8/20/2019 ,3/27/2020,2,1821
Jamaica National Bank,March 14 2020,3/28/2020,30,600000
Earl Enterprises,5/23/2018 ,3/29/2019,Unknown,Unknown
Fellowship of Catholic University Students,01/13/2019 ,3/29/2019,9,1777
Carnival Corporation & PLC,April 11 2019 ,3/3/2020,361,372500
Positec Tool Corporation,December 6 2019 ,3/3/2020,6,1778
Nutraceutical Wellness Inc. dba Nutrafol,4/16/2019,3/3/2020,1,1540
Cvent,4/11/2019,3/3/2020,2,565
Discover Financial Services,4/11/2019,3/3/2020,2,565
Jamaica National Bank,i,3/30/2020,i,i
National Institute for Automotive Service Excellence,December 18 2019 ,3/31/2020,59,12603
Virginia Commonwealth University Health System,January 1 2008 ,3/31/2020,6,2131
Affordacare Urgent Care Clinics,February 1 2020,3/31/2020,5,55338
"TEMPU, Inc.",11/01/2018 ,3/4/2019,2,1268
"Cocktail Kingdom, LLC",01/16/2019,3/4/2019,1,40
"DiPardo Eremic & Co., P.C.",10/18/2018,3/4/2019,2,1098
EMC National Life Company,12/08/2019,3/4/2020,9,10874
"Lonza America, Inc.",January 4 2020 ,3/5/2020,1,88
Young Men's Christian Association of Greater Indianapolis,01/25/2019,3/6/2019,1,4217
"Volt Information Sciences, Inc.",8/6/2018 ,3/6/2019,1,9064
Rush,5/9/2018,3/6/2019,4,44765
KeyBank,02/06/2020,3/6/2020,1,104
Department of Commerce Federal Credit Union (DOCFCU),August 27 2019,3/6/2020,1,1595
Meadville Medical Center,12/05/2019 ,3/6/2020,4,6970
"Doyle Wealth Management, Inc.",6/8/2019 ,3/6/2020,1,2494
"NYR Organic, Inc.",8/21/2019 ,3/6/2020,108,12999
Discipleship Ministries,08/10/2018,3/8/2019,3,89
Emerson Hospital,May 9 2018 ,3/8/2019,25,6314
Equifax Information Services LLC,January 26 2019 ,3/8/2019,14,214
"OnCourse Learning Corporation, a predecessor-in-interest to Relias LLC",6/11/2018 ,3/8/2019,20,5600
"Eversana Life Sciences Services, LLC",April 1 2019 ,3/9/2020,4,6255
National Filter Media,December 1 2019,3/9/2020,45,214
Grinnell College,March 7 2019,4/1/2019,16,3261
