Name of Company or Organization,Date of Notification,Date of the Breach,IN Affected,Total Affected
AuntMartha'sYouthServiceCenterInc,12/17/2014,11/10/2014,22,352
AutoNationInc,5/26/2014,3/5/2014,42,1499
AyresCarrSullivanPC,1/22/2014,1/10/2014,16,22
BackcountryGear,7/28/2014,4/27/2014,72,7000
BackcountryGear,10/22/2014,10/11/2014,2,300
BakerHughesIncorporated,12/1/2014,11/3/2014,1,11
BankoftheWest,2/5/2014,,23,
BannerHealthNetwork,3/5/2014,2/21/2014,7,7
BarryUniversity,12/27/2013,5/14/2013,12,
BartellHotels,9/12/2014,2/16/2014,75,43000
bebeStoresInc,12/5/2014,11/8/2014,316,
BenefitExpressServices,10/28/2014,9/4/2014,1,
BenjaminFEdwardsCo,6/27/2014,5/24/2014,273,55822
BigEastConference,11/25/2014,8/1/2013,6,80
BlueCrossandBlueShieldofKansasCityInc,4/16/2014,8/16/2013,1,2546
BlueCrossBlueShieldofMichigan-Breach Notification,7/18/2014,2/1/2014,1,
BlueCrossBlueShieldofMichigan-Breach Notification,4/23/2014,3/13/2014,41,
BlueZebraSports,11/19/2014,,70,1218
BMV,12/30/2013,12/20/2013,1,1
BMV,12/31/2013,12/19/2013,1,1
BMV*,9/16/2014,9/13/2014,1,1
BMV*,6/12/2014,6/9/2014,1,1
BMV*,8/5/2014,7/30/2014,3,3
BMV*,4/22/2014,4/15/2014,1,1
BMV*,4/16/2014,3/22/2014,2,2
BMV*,4/3/2014,4/2/2014,3,3
BNSFRailwayCompany,10/14/2014,9/17/2014,1,507
BoersmaBrosLLCdbaDutchWear,12/22/2014,11/7/2014,12,3594
BolderImageCompany,12/22/2014,10/24/2014,6,
BommerangTags,4/25/2014,7/4/2013,456,26759
BookingBV,9/18/2014,6/6/2014,1,401
BrightHouseNetworks,5/12/2014,12/29/2013,31,532
ButlerUniversity,,,,
ButlerUniversity-SecurityBreach,6/13/2014,11/1/2013,"64,181","163,123"
CaliforniaStateUniversityEastBay,9/5/2014,8/23/2013,1,
CalypsoStBarthInc,11/26/2014,10/9/2014,5,1514
CampBowWowFranchisingInc,10/19/2014,9/7/2014,4,
Catamaran,2/7/2014,12/26/2013,11,
CBIOperationsLLCdbaChathamBarsInn,8/20/2014,3/20/2014,20,
CCSMedical,11/10/2014,9/1/2014,5,
Cedars-SinaiHealthSystems,9/10/2014,6/23/2014,2,33136
CenterforComputerResources,5/28/2014,4/14/2014,38,
CentralCityConcern,4/28/2014,,23,
CenturyLink,5/28/2014,12/27/2013,75,75
ChannelwoodMortgageInc,1/21/2014,12/22/2013,314,314
ChicagoYachtClub,7/31/2014,,,
ChicagoYachtClub,7/31/2014,4/26/2014,20,1958
CignaGroupInsurance,6/17/2014,5/15/2014,1,1
CitibankNA,4/2/2014,10/30/2013,1,
CitibankNA-Breach Notification,7/3/2014,6/7/2014,1,1
CityofCrossvilleTN,4/2/2014,9/1/2013,8,
ClamCaseLLC,8/28/2014,4/18/2014,186,
ClayCountyHospital,12/12/2014,11/2/2014,73,
ColumbiaSouthernUniversity,10/20/2014,9/18/2014,48,
Columbus Regional Hospital*,1/21/2014,11/27/2013,0,1
ColumbusRegionalHealthPhysicians,4/30/2014,4/29/2014,1,1
ColumbusRegionalHealthPhysicians,10/28/2014,10/14/2014,1,1
ColumbusRegionalHealthPhysicians-Breach Notification,11/19/2014,11/13/2014,1,1
ColumbusRegionalHealthPhysicians-Breach Notification,5/9/2014,5/2/2014,1,1
ColumbusRegionalHealthPhysiciansSouthernIndianaHeart,10/29/2014,10/1/2014,1,1
CommunityHealthNetwork,11/21/2014,10/15/2014,1,1
CommunityHealthNetwork-Breach Notification,4/18/2014,2/27/2014,10,10
CommunityHealthNetwork-Breach Notification,6/12/2014,5/21/2014,1,1
CommunityHealthNetwork-Breach Notification,12/11/2014,11/21/2014,1,1
CommunityHealthNetwork-Breach Notification,11/10/2014,10/11/2014,1,1
CommunityHealthNetwork-Breach Notification,12/19/2014,12/2/2014,46,46
CommunityHealthSystemsProfessionalServic,,,,
CommunityMentalHealthCenter,8/13/2014,7/24/2014,1,1
CompleteMedicalHomecare,1/21/2014,12/12/2013,38,38
ConferenceUSAInc,11/24/2014,,6,
ContinentalAmericanInsuranceCompany,1/2/2014,11/15/2013,2,872
ControlConceptsCorporation,10/24/2014,10/3/2014,2,40
CoreLogicSafeRent,6/4/2014,,4,
CottageHealthSystem,,,,
CrothallServicesGroup,8/4/2014,7/1/2014,17,1494
CultivianVenturesLLC,11/17/2014,9/30/2014,5,
CyberswimInc,10/14/2014,5/12/2014,431,
DavidStanleyDodge,6/13/2014,,6,10571
DaVitaHealthCarePartnersAvonDialysis,6/6/2014,5/30/2014,1,1
DeaconessCompCenter-Breach Notification,10/8/2014,8/8/2014,1,1
DeaconessCompCenter-Breach Notification,6/11/2014,6/4/2014,10,10
DeaconessHospital-DataBreach,3/11/2014,1/7/2014,1,1
DeaconessUrgentCare-COMPCenter,6/3/2014,4/7/2014,1,1
DeKalbHealth,3/7/2014,2/9/2014,41,41
DelawareRiverBayAuthority,10/17/2014,9/20/2013,,
Delivery2Go,1/28/2014,10/1/2013,372,
Deltek'sGovWinIQ,4/10/2014,7/3/2013,54,54
DiatherixLaboratoriesInc,8/7/2014,9/24/2011,5,462
DirectLearningSystems,10/27/2014,7/13/2014,27,
DirecTV - Security Breach,3/28/2014,1/1/2014,12,
DiscoverPropertiesPMGLLP,,,,
DixonHughesGoodmanLLP,9/23/2014,,1,69
DukeEnergyCorporation,4/10/2014,3/24/2014,1,30
DuluthPack,10/24/2014,9/27/2014,2,128
DWD-IndianaWorkforce Development*,9/15/2014,9/10/2014,21,21
DWD-IndianaWorkforce Development*,1/30/2014,1/23/2014,1,
EasternAllianceInsuranceGroup,7/8/2014,6/13/2014,1,1
Easton-BellSportsInc,1/17/2014,12/1/2013,88,88
EntercomPortlandLLC,5/9/2014,2/28/2014,9,13244
EquifaxIncorp.*,3/3/2014,4/1/2013,28,
eScreen,3/7/2014,10/29/2013,62,
EvolutionNatureCorpdbaTheEvolutionStore,10/9/2014,,,
ExamOne-Breach Notification,10/22/2014,9/17/2014,2,2
ExamOne-Breach Notification,5/22/2014,3/25/2014,1,
ExamOne-Breach Notification,8/5/2014,6/23/2014,1,1
ExamOne-Breach Notification,11/5/2014,9/18/2014,1,1
ExamOne-Breach Notification,6/16/2014,4/26/2014,1,1
Experian,7/21/2014,4/15/2014,38,1158
Experian*,,,,
Experian-SecurityBreach,1/7/2014,12/19/2013,3,
Experian-SecurityBreach,10/20/2014,10/9/2014,5,212
Experian-SecurityBreach,5/22/2014,5/14/2014,4,190
Experian-SecurityBreach,11/20/2014,11/8/2014,1,357
Experian-SecurityBreach,11/3/2014,10/20/2014,6,214
Experian-SecurityBreach,9/26/2014,8/29/2014,17,933
Experian-SecurityBreach,10/22/2014,10/13/2014,9,481
EZPrintsIncACafePressSubsidiary,11/11/2014,9/22/2014,29,1919
FairwayIndependentMortgageCorporation,11/21/2014,7/1/2014,247,
Fidelity,6/12/2014,7/1/2013,1792,
FidelityInvestments-Breach Notification,5/12/2014,1/27/2014,2,2
FidelityInvestments-Breach Notification,6/26/2014,6/13/2014,3,56
FidelityInvestments-Breach Notification,5/6/2014,3/27/2014,1,1
FidelityInvestments-Breach Notification,5/12/2014,3/18/2014,1,1
FinancialCenterFederalCreditUnion,12/8/2014,12/2/2014,2,2
FlinnScientificInc,10/1/2014,5/2/2014,74,
FluxTechnologyServicesLLC,,,,
FocusonSuretyLLC-SecurityBreach,1/9/2014,1/1/2013,11,
FranciscanAllianceInc,6/13/2014,4/28/2014,4,4
FranciscanStFrancisHealth-SecurityBreach,5/30/2014,4/28/2014,3,3
FranciscanStFrancisHealth-SecurityBreach,10/20/2014,,1,1
FreedomManagementGroupLLCdbaTheNatural,8/13/2014,4/22/2014,118,7467
FreshologyInc,7/15/2014,,1,586
FSSA-Breach Notification,11/12/2014,11/12/2014,1,1
FSSA-Breach Notification,5/19/2014,5/7/2014,2,2
FSSA-Breach Notification,11/21/2014,11/20/2014,1,1
FSSA-Breach Notification,3/27/2014,3/21/2014,5,5
FSSA-Breach Notification,3/31/2014,3/28/2014,7,7
FSSA-Breach Notification,2/4/2014,2/3/2014,1,1
FSSA-Breach Notification,3/13/2014,3/10/2014,1,1
FSSA-Breach Notification,2/6/2014,,32,32
FSSA-Breach Notification,3/19/2014,3/13/2014,4,4
FSSA-Breach Notification,12/10/2014,12/9/2014,1,1
FSSA-Breach Notification,12/18/2014,11/10/2014,1,1
FSSA-Breach Notification,12/19/2014,12/16/2014,1,1
FSSA-Breach Notification,2/28/2014,2/28/2014,12,12
FSSA-Breach Notification,6/23/2014,6/9/2014,1,1
FSSA-Breach Notification,10/23/2014,10/13/2014,3,3
FSSA-Breach Notification,11/25/2014,11/18/2014,1,1
FujifilmNorthAmericaCorporationGraphiSystemsDivision,2/14/2014,10/21/2013,2,156
FujifilmNorthAmericaCorporationGraphiSystemsDivision,3/5/2014,1/14/2014,2,17
GeekfaceLLC,8/24/2014,8/5/2014,23,1688
Gelsosomo'sPizzeria,,,,
Genworth-SecurityBreach,10/7/2014,9/13/2014,1,1
GiantEagleInc,6/13/2014,5/24/2014,9,9
GingerbreadShedCorporation,5/7/2014,11/25/2013,122,122
GodivaChocolatierInc,11/26/2014,10/16/2014,384,36092
GoodwillofSouthernIndiana-SecurityBreach,9/2/2014,2/10/2013,,
GreenleafBookGroupLLC,1/29/2014,1/18/2014,4,
GuideStoneFinancialResourcesoftheSouthernBaptistConvention,2/24/2014,11/7/2013,31,31
HanoverFoodsCorporation,5/21/2014,4/7/2014,38,38
HarborFreightToolsUSAINC-SecurityBreach,12/11/2014,11/13/2014,1,
HarryBarker,8/9/2014,5/22/2014,19,
HeartlandBank-SecurityBreach,9/5/2014,7/30/2014,7,
"Hewitt, Aon",7/17/2014,3/1/2013,4,1533
Highlands-CashiersHospital,11/26/2014,5/1/2012,45,
HolidayMotel,12/4/2014,12/1/2013,16,2327
HoustonianHotelClubandSpa,7/9/2014,12/28/2013,11,10000
HRBTaxGroupInc,2/10/2014,1/11/2014,161,161
Hubbard-BertInc,5/13/2014,4/24/2014,6,6
Humana,5/23/2014,4/4/2014,1,
IDEM-SecurityBreach,5/1/2014,3/19/2014,1,1
IDEM-SecurityBreach,4/2/2014,9/13/2007,1,1
IDEM-SecurityBreach,3/31/2014,9/24/2007,1,1
IDEM-SecurityBreach,5/29/2014,8/18/2007,1,1
IDEM-SecurityBreach,9/30/2014,10/15/2007,1,1
IDEM-SecurityBreach,3/20/2014,12/9/2013,3,3
ImhoffandAssociatesPC,8/26/2014,6/27/2014,87,
IndianaDepartmentofInsurance-SecurityBreach,4/2/2014,3/24/2014,33,33
IndianaDepartmentofRevenue-Breach Notification,11/12/2014,,0,0
IndianaDepartmentofRevenue-Breach Notification,1/21/2014,1/9/2014,1,1
IndianapolisArtCenter,12/11/2014,12/3/2014,128,128
IndianapolisStar*,,,,
IndianaUniversity,2/25/2014,4/1/2013,112394,145966
IndianaUniversityHealthBallMemorialHospitalInc,2/3/2014,,61,61
INPRSIndianaPublicRetirementSecurity Breach,10/23/2014,9/22/2014,1,1
InternationalAgInsuranceSolutionsLLC,6/30/2014,5/15/2014,3,3
InternationalDairyQueenInc,10/9/2014,,,
InvuluInc,7/3/2014,6/15/2014,3,144
JacksonNationalLifeInsuranceCompany,3/14/2014,1/22/2014,7,320
JCMPartnersLLC,4/24/2014,,38,16975
JerseyCityMedicalCenter,8/6/2014,6/16/2014,1,36402
JimmyJohn'sFranchisesLLC,8/28/2014,6/16/2014,,
JMSmuckerCompany,2/27/2014,12/23/2013,431,431
JohnHopkinsUniversity,4/24/2014,3/19/2014,6,
JPMorganChaseExecutiveOffice*,,,,
JPMorganChaseExecutiveOffice*,,,,
KahnDeesDonovanKahnLLP,10/31/2014,10/23/2014,1,1
KaplanUniversity,7/9/2014,,9,
KentuckyOneHealth,3/28/2014,,1,1
KforceInc,10/1/2014,9/26/2014,4,4
KimptonHotelsandRestaurants,6/2/2014,4/2/2014,1,153
KindredRehabServicesInc,8/20/2014,7/22/2014,14,14
KindredTransitionalCareandRehabilitation-EagleCreek,9/30/2014,,1,1
KindredTransitionalCareandRehabilitation-EagleCreek,10/3/2014,8/15/2014,1,1
KMart*,,,,
LaCieUSA,4/11/2014,3/27/2013,249,249
LALeasingIncdbaSedonaStaffing,11/18/2014,,8,
LaskoGroupInc,7/30/2014,10/27/2011,303,9066
LegalSeaFoodsLLC,6/20/2014,1/1/2014,40,
LogosManagementSoftwareLLC,3/27/2014,1/14/2014,27,
Lowe'sCompaniesInc-SecurityBreach,5/19/2014,7/9/2013,933,
LPLFinancial-SecurityBreach,9/9/2014,2/24/2014,4,
LPLFinancial-SecurityBreach,7/24/2014,7/14/2014,1,
LPLFinancial-SecurityBreach,5/4/2014,,1,1
MaschinoHudelsonAssociates,5/8/2014,4/2/2014,7,5500
McKendreeUniversity,3/25/2014,1/24/2014,19,573
McKennaLongAldridge,2/28/2014,11/28/2013,2,
MemberClicksIncdbaMoolahPayments,11/20/2014,10/24/2014,4,
MercerHRServicesLLC,5/8/2014,4/1/2014,3,158
MerralLewisFamilyPractice,1/28/2014,1/22/2014,1,2
MethodistHospital,4/15/2014,6/26/2012,10,10
MetropolitanCommunityCollege,9/19/2014,5/17/2014,1,
MichaelsStoresInc,1/27/2014,,,2600000
MichiganCommercialInsuranceMutual,1/31/2014,1/1/2012,2,
MidwestOrthopaedicCenterSC,7/23/2014,12/1/2013,1,
ModernGunSchool,10/27/2014,10/19/2014,9,287
MontanaDepartmentofPublicHealthandHumanServices,6/23/2014,7/1/2013,510,1290682
Moody'sCorporation,11/17/2014,10/15/2014,1,56
MutualofOmahaInsuranceCompany-SecurityBreach,4/30/2014,4/8/2014,1,1
MyMatrixx,1/29/2014,1/1/2012,9,
NationalCreditAdjusters,6/5/2014,,45,
NationStarMortgageLLC,11/26/2014,9/17/2014,25,2022
NationStarMortgageLLC*,8/15/2014,6/18/2014,1,13
NationwideFinancialServicesInc,10/27/2014,9/22/2014,1,12
NCOFinancialSystemsInc,4/22/2014,3/29/2014,10,
NeimanMarcusGroupInc-SecurityBreach,1/25/2014,,2595,1100000
NielsenCompany,2/4/2014,12/1/2013,13,
NorthAmericanMidwayEntertainmentLLC,1/16/2014,1/13/2014,0,44
NorthernTrustCompany,7/29/2014,5/17/2014,30470,480000
NorthwesternMedicalGroup,9/26/2014,1/1/2009,1,
NorthwestIndianaCardiovascularPhysiciansPC,,,,
NovaSoutheasternUniversity,11/6/2014,7/1/2013,2,
NovoNordisk,11/25/2014,11/13/2014,2,
OakAssociatesFunds,3/6/2014,1/23/2014,3,566
OmegaNetInc,9/10/2014,5/28/2014,15,
OneLoveOrganicsInc,10/30/2014,8/24/2014,2,487
OppenheimerFunds,7/21/2014,5/17/2014,1,158
OppenheimerFunds,7/31/2014,7/22/2014,153,3473
OregonEducatorsBenefitBoard,11/25/2014,3/1/2013,2,36855
OtolaryngologyAssociates,9/3/2014,8/26/2014,19,19
ParamountStaffing,1/28/2014,11/6/2013,49,
ParkHillSchoolDistrict,7/8/2014,2/1/2014,2,9848
PayGov,,,,
PaytimeHarrisburgIncdbaPaytimeInc,5/21/2014,4/7/2014,322,216274
PillarHotelsResortsLP,10/15/2014,,10,94
PlacemarkInvestmentsInc,5/27/2014,3/1/2013,8,1348
PointLomaNazareneUniversity,12/17/2014,10/7/2014,2,1086
PointParkUniversity,3/13/2014,2/27/2014,4,1813
PolishFalconsofAmerica,8/1/2014,6/14/2014,20,1526
PolyOne,6/10/2014,,63,
PrecisionPlanting,5/14/2014,,85,
PREIT,5/8/2014,2/23/2014,3,
PrincipalLifeInsuranceCompany-DataBreach,5/2/2014,4/18/2014,1,1
ProgressiveHealthofIndianaLLC,5/28/2014,5/5/2014,1,1
ProgressiveHealthofIndianaLLC,5/28/2014,5/5/2014,1,1
PublishersPayment,,,,
PurdueUniversity,9/23/2014,2/1/2013,2,2
PurdueUniversity,3/25/2014,3/5/2014,28,28
PurdueUniversity,10/6/2014,5/19/2014,760,
PurdueUniversity,2/7/2014,1/10/2014,3,3
QuestDiagnostics-SecurityBreach,12/19/2014,11/17/2014,209,24830
RBSCitizensFinancialGroupInc,3/31/2014,2/7/2014,1,29
ReevesInternationalInc,10/23/2014,3/31/2013,443,
RegionalHospitalHealthcarePartnersLLC,4/7/2014,8/27/2012,19,366
RGHEnterprisesInc-SecurityBreach,1/10/2014,3/9/2013,107,
RKInternetLLC,4/2/2014,2/6/2014,197,197
RowanCompaniesPLC,5/30/2014,5/13/2014,1,1
SafetyFirst,6/13/2014,9/27/2013,55,7242
SandsCasinoResortBethlehem,3/3/2014,2/10/2014,17,49000
SanFranciscoAirport-SouthSanFranciscoEmbassySuitesHotel,2/5/2014,6/8/2013,9,
SchroederMayAssociatesPC,4/11/2014,3/25/2014,560,560
SchwabRetirementPlanServicesCompany,10/31/2014,10/9/2014,1,91
ScottradeInc,6/10/2014,5/29/2014,1,1
ScottradeInc,7/9/2014,7/9/2014,1,1
SeattleUniversity,7/17/2014,5/25/2014,10,
SELFLoan,9/23/2014,,5,
SidneyRegionalMedicalCenter,1/24/2014,12/11/2013,1,400
SimmsFishingProductsLLC,11/25/2014,9/1/2014,11,3297
SnellingStaffingLLC,4/18/2014,1/20/2014,56,9757
SolarTan,,,,
SonyPicturesEntertainmentInc,12/11/2014,11/24/2014,56,
SorensonCommunications,3/26/2014,2/20/2014,192,192
SourcebooksInc,10/17/2014,4/16/2014,105,9433
SourceMediaInc,7/24/2014,5/1/2014,1,62
SpencerCountyCouncilonAging,12/15/2014,11/23/2014,104,104
SportGraphics,1/2/2014,12/17/2013,23,
StaplesInc,12/19/2014,8/10/2014,,
StateFarmInsuranceCompanies-SecurityBreach,4/9/2014,3/31/2014,1,1
StateIndustrialProductsCorp,1/27/2014,,9,425
SterneAgeeLeachInc,6/26/2014,5/29/2014,3477,352551
StMary'sPhysicianNetwork-DrChristieReagan'sPhysicianOffice,2/12/2014,10/22/2013,1,1
StonebridgeLifeInsuranceCompany,8/22/2014,6/25/2014,7,
StuartBraniginLLP,2/19/2014,1/30/2014,6,
StVincentDunnHospital,1/17/2014,1/7/2014,1,1
StVincentHospitalandHealthCareCenterInc,8/15/2014,1/1/2011,30,30
SurescriptsLLC,10/3/2014,3/1/2014,1,523
SymantecCorporation*,2/20/2014,1/28/2014,3,270
TakeCareHealthSystems,3/18/2014,1/31/2014,1,
TeaysRiverInvestmentsLLC,7/7/2014,4/10/2014,5,
TestEffectsLLC,8/4/2014,12/24/2013,817,37272
TheCoca-ColaCompany,1/23/2014,,1460,
TheDreslyn,8/4/2014,4/23/2014,3,872
TheFountainTrustCompany,6/18/2014,5/31/2014,378,
TheFreemanCompany,2/10/2014,1/20/2014,265,265
TheHomeDepot,5/27/2014,5/7/2014,1,500
TheHomeDepot,9/9/2014,4/1/2014,,
TheHomeDepotInc,2/10/2014,2/7/2011,89,10943
TheMedicalProtectiveCompany,5/30/2014,5/6/2014,4,4
ThePrudentialInsuranceCompanyofAmerica-SecurityBreach,2/8/2014,1/18/2014,1,71
ThePrudentialInsuranceCompanyofAmerica-SecurityBreach,,,,
ThePrudentialInsuranceCompanyofAmerica-SecurityBreach,5/2/2014,1/4/2014,25,703
ThePrudentialInsuranceCompanyofAmerica-SecurityBreach,4/8/2014,3/18/2014,4,74
TheTimkenCompany,3/5/2014,1/30/2014,6,4983
TheUnionLaborLifeInsuranceCompany,6/4/2014,2/17/2014,369,32717
TheUPSStoreInc,10/1/2014,1/20/2014,4,
TheVanguardGroupInc,10/2/2014,6/25/2014,1,1
TheVanguardGroupInc,4/28/2014,2/12/2014,1,
TheVanguardGroupInc,2/24/2014,8/1/2012,12,59
TheVanguardGroupInc,3/17/2014,8/1/2012,12,59
TheVanguardGroupInc,10/1/2014,9/9/2013,1,1
ThomsonReuters,7/10/2014,2/1/2014,2,317
TimMcCoyAssociates,9/15/2014,8/27/2014,247,10953
TotalBank,7/9/2014,,11,11
TREMEC,9/8/2014,7/10/2014,14,
Tri-LakesMedicalCenter-SecurityBreach,1/9/2014,9/20/2013,1,1393
TrusteesofIndianaUniversity,4/7/2014,3/27/2014,4,4
UILHoldingsCorporation,9/30/2014,9/13/2014,2,
Union Hospital,7/23/2014,7/14/2014,2,2
Union Hospital,7/16/2014,6/6/2014,2,2
UnionTownshipSchoolCorporation,6/27/2014,6/16/2014,1236,
UnitedConsumersClub,9/18/2014,,414,414
UnitedStatesFireInsuranceCompanyFairmontSpecialty,8/21/2014,4/9/2014,5,680
UnitedStatesFundforUNICEF-SecurityBreach,1/6/2014,11/4/2013,11,
UniversityofKentucky-UKHealthCare,3/31/2014,2/4/2014,2,1780
UnumGroup,1/10/2014,,50,50
UpdateLegal,12/18/2013,,1,2913
USA Funds,7/25/2014,6/10/2014,1,1
USAA Federal Savings Bank*,10/2/2014,1/20/2014,4,3244
USIIndustrialServicesInc,10/9/2014,8/19/2014,1,2301
USInfoSearch,,,,
USInvestigationsServicesLLC,10/28/2014,12/20/2013,317,36026
Valeritas,9/23/2014,7/16/2014,4,
VendersExchangeInternational,7/17/2014,6/25/2014,1,10
VerizonCorporateServicesGroupInc,2/25/2014,1/20/2014,1,215
VFW,4/11/2014,3/4/2014,1391,
Viator,9/22/2014,,4699,379258
VibramUSAInc-SecurityBreach,8/5/2014,6/6/2014,81,5171
Visionworks,11/21/2014,6/15/2014,6,
Visionworks,11/24/2014,9/25/2014,14,
Walgreens,5/27/2014,3/3/2014,1,
Wellca,2/21/2014,12/22/2013,2,
WestPublishingCorporation,11/4/2014,10/14/2014,21,2015
WhiteLodgingServicesCorporation,2/6/2014,3/20/2013,,
WillisNorthAmericaIncMedicalExpenseBenefitPlan,4/21/2014,3/20/2014,9,4830
Yandycom,9/8/2014,5/28/2014,603,
(DOR) Indiana Department of Revenue,7/6/2015,6/11/2015,40,85
2020Communications,8/3/2015,7/27/2015,2,2
AbercrombieFitch,4/17/2015,3/25/2015,3,
AcclaimTechnicalServicesInc,12/23/2015,8/26/2015,5,2000
ACESurgicalSupplyCoInc,9/15/2015,4/11/2015,15,1158
ActavisInc,10/1/2015,8/25/2015,104,9401
AcuityAMututalInsuranceCompany,4/23/2015,4/14/2015,1,1
Adreima,11/5/2015,10/12/2015,3,497
AdvantageDental,3/18/2015,2/23/2015,7,
AeroGrowInternationalInc,6/3/2015,10/15/2014,688,41325
AetnaLifeInsuranceCompany-Breach Notification,1/8/2015,,4,133
AFLAC,11/20/2015,10/7/2015,1,1
Aflac,11/10/2015,10/26/2015,4,
AFLAC,10/19/2015,7/1/2015,1,297
AFLAC,7/15/2015,6/17/2015,6,146
AkronInc,6/4/2015,3/1/2015,5,2210
AKSteelCorporation,5/8/2015,4/30/2015,3,477
AlfaVisionInsuranceCoandAlfaSpecialtyInsuranceCorp,7/10/2015,4/18/2015,2231,85730
AlinMachiningCompanyInc-Breach Notification,1/12/2015,11/7/2014,21,750
AllegisGroupInc,6/8/2015,1/1/2015,2,69
AllenTateMortgageServicesInc,11/20/2015,11/2/2015,1,85
AltaSkiLiftsCo,3/9/2015,2/16/2015,1,
AltaSkiLiftsCo,3/9/2015,2/16/2015,1,
AmedisysInc-Breach Notification,3/2/2015,,131,6909
AmeriFirstFinancialCorporation-DataBreach,8/19/2015,7/28/2015,1,208
AmeripriseFinancialInc,4/24/2015,3/18/2015,2,2
AmeripriseFinancialInc-Breach Notification,2/25/2015,2/12/2015,1,1
AmeripriseFinancialInc-Breach Notification,3/18/2015,2/20/2015,1,1
AmiciCellars,6/18/2015,4/1/2015,3,302
AmstedRail,3/19/2015,2/4/2015,850,
Anheuser-BuschCompaniesLLC,7/9/2015,6/29/2015,3,65
AnthemBlueCross&BlueShield-Breach Notification,2/9/2015,,,
AnthemBlueCrossandBlueShield,11/20/2015,8/21/2015,1,4
Name of Company or Organization,Date of Notification Date of Breach IN Affected Total Affected,,,
AOLInc,12/22/2015,9/17/2015,2,64
AonCorporation,10/13/2015,8/1/2015,1,13
AONHewitt,7/2/2015,6/5/2015,1,65
AONHewitt,8/28/2015,7/15/2015,4,144
AppleAmericanGroupLLC,3/15/2015,3/3/2015,3058,49964
ArtofTea-Breach Notification,12/31/2014,10/26/2014,16,1319
AscensusInc-DataBreach,5/27/2015,5/14/2015,16,1404
AscensusInc-DataBreach,2/6/2015,1/12/2015,2,18
AscensusInc-DataBreach,9/24/2015,9/3/2015,468,484
AscensusInc-DataBreach,3/4/2015,2/9/2015,1,9299
AscensusInc-DataBreach,1/23/2015,12/24/2014,1,183
ATT-Breach Notification,12/19/2014,10/16/2014,5,
AuburnUniversity,4/1/2015,9/1/2014,1038,364185
AuroraHealthCareInc,3/10/2015,,4,37908
AustinPowderCompany,4/7/2015,12/1/2014,66,2764
AutoCareAssociation,10/13/2015,9/11/2015,8,199
AutomotiveRecoveryServicesInc,7/6/2015,1/1/2015,1953,505000
BankersLifeandCasualtyCompany,9/3/2015,5/28/2015,1,1
BankoftheWest,3/24/2015,,62,58677
BarbecueRenewInc-Breach Notification,1/16/2015,1/1/2014,815,
BeaconBroadwayLLC,4/17/2015,,,
