Date Reported,Organization Name,Date of Breach,Number of Washingtonians Affected,Information Compromised
05/28/2021,"USA Waste-Management Resources, LLC",01/21/2021,6225,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Other
05/27/2021,Accucom Corporation,05/25/2020,6829,Name; Financial & Banking Information; Other
05/25/2021,Infinity Insurance Company,1/7/2021,639,Name; Driver's License or Washington ID Card Number
05/25/2021,"Sugarfina USA, LLC",11/1/2019,1019,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
05/21/2021,"Defender Industries, Inc.",,1208,Name; Financial & Banking Information; Other
05/19/2021,Rehoboth McKinley Christian Health Care Services,01/21/2021,1186,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
05/14/2021,"Phillip Galyen, PC",,64,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Biometric Data
05/13/2021,"American Family Mutual Insurance Company, S.I.",2/6/2021,5246,Name; Driver's License or Washington ID Card Number
5/10/2021,"Aspen Education Group, Inc.",12/13/2020,1958,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Other
5/10/2021,"Cougar Den, Inc.",11/1/2020,757,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Medical Information; Biometric Data; Username and Password/Security Question Answers
5/7/2021,"JHT Holdings, Inc.",3/4/2021,511,Name; Social Security Number; Other
5/7/2021,Carnival Corporation,,1,Name; Social Security Number; Full Date of Birth; Passport Number; Medical Information; Other
5/7/2021,"Telmate, LLC",,4257,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
5/5/2021,SEIU 775 Benefits Group,4/4/2021,124760,Name; Social Security Number; Other
5/5/2021,NEC Networks dba CaptureRx,2/6/2021,126193,Name; Full Date of Birth; Medical Information
5/5/2021,Timberland Regional Library,08/21/2020,26209,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information
5/4/2021,Inventors Hall of Fame,01/27/2021,685,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
5/3/2021,"Divvy Up, Inc.",12/1/2020,1137,Name; Financial & Banking Information; Other
5/3/2021,"Divvy Up, Inc.",12/1/2020,1012,Name; Financial & Banking Information
04/30/2021,Kettle Cuisine,11/3/2020,950,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number
04/29/2021,Insurance Technologies Corporation,02/27/2021,3925,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Username and Password/Security Question Answers
04/28/2021,"ClearVoice Research.com, LLC",09/17/2015,21564,Name; Full Date of Birth; Email Address and Password/Security Question Answers; Other
04/28/2021,Direct Relief,2/7/2020,926,Name; Financial & Banking Information; Full Date of Birth; Other
04/26/2021,Seattle Police Officers' Guild,3/6/2021,1297,Name; Social Security Number; Full Date of Birth; Other
04/19/2021,"Blade HQ, LLC",1/7/2021,3090,Name; Financial & Banking Information; Other
04/15/2021,"AmeriFirst Financial, Inc.",12/2/2020,757,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number
04/13/2021,FloForm Industries LLC,,970,Name; Social Security Number; Other
04/13/2021,University of Colorado,1/6/2021,3511,Name; Full Date of Birth; Student ID Number; Health Insurance Policy or ID Number; Medical Information
4/9/2021,American College of Emergency Physicians,4/8/2020,4148,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
4/9/2021,"McDougall & Sons, Inc.",,5885,Name; Social Security Number; Full Date of Birth
4/8/2021,Nexelis Group,,957,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Passport Number; Health Insurance Policy or ID Number; Medical Information; Email Address and Password/Security Question Answers
4/8/2021,MailMyPrescriptions.com,,507,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
4/7/2021,American Society for Clinical Pathology,03/30/2020,703,Name; Financial & Banking Information
4/6/2021,Marines' Memorial Association & Foundation,2/7/2020,2625,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Military ID Number; Health Insurance Policy or ID Number; Medical Information; Biometric Data; Other
4/6/2021,"Minnetonka Moccasin Company, Inc.",11/25/2020,821,Name; Financial & Banking Information
4/6/2021,Portland State University Foundation,05/26/2020,4216,Name; Social Security Number; Full Date of Birth; Student ID Number; Other
4/4/2021,"RXLTC, PLLC & Prescription Pharmacy, PLLC",10/6/2020,560,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
4/2/2021,FPI Management,,1022,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Medical Information; Username and Password/Security Question Answers; Other
4/2/2021,"Slate & Tell, LLC",3/1/2020,624,Name; Financial & Banking Information; Other
4/1/2021,"MHNext, LLC",2/1/2021,7714,Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
03/30/2021,Prime Therapeutics,01/22/2021,6,Name; Full Date of Birth; Medical Information
03/24/2021,National Wildlife Federation,2/6/2019,3311,Name; Financial & Banking Information; Other
03/22/2021,"On Q Fiancial, Inc.",02/22/2021,18066,Name; Social Security Number; Other
03/19/2021,Cancer Treatment Centers of America,1/12/2021,579,Name; Health Insurance Policy or ID Number; Medical Information; Other
03/19/2021,"Citywide Home Loans, LLC",11/18/2020,2407,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Other
03/18/2021,Manson Counstruction Co.,05/24/2020,1049,Name; Social Security Number; Full Date of Birth; Other
03/17/2021,Automatic Funds Transfer Services Inc.,2/4/2021,695,Name; Financial & Banking Information; Other
03/17/2021,PCS Revenue Control Systems,,11807,Name; Social Security Number; Full Date of Birth; Student ID Number
03/17/2021,Western Union Retail Money Transfer Partner,12/24/2020,1555,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Other
03/16/2021,Infinity Insurance Company,,606,Name; Social Security Number; Driver's License or Washington ID Card Number
03/15/2021,American Health Care Academy,,1211,Name; Financial & Banking Information
03/15/2021,"Flagstar Bank, FSB",,61006,Name; Social Security Number; Full Date of Birth; Other
3/11/2021,Pan-American Life Insurance Group,,599,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Medical Information; Other
3/11/2021,Perkins & Co,11/8/2020,6892,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Other
3/11/2021,Security Industry Specialists,,2264,Name; Financial & Banking Information
3/10/2021,"Mead Johnson & Company, LLC",11/7/2020,2828,Name; Full Date of Birth
3/10/2021,Public Utility District No. 1 of Skagit County,,23935,Name; Financial & Banking Information; Other
3/5/2021,Ascentium Inc. and Ascentium Corp.,,172,Name; Social Security Number; Driver's License or Washington ID Card Number; Other
3/5/2021,Metromile Insurance Company,12/1/2020,1400,Name; Driver's License or Washington ID Card Number; Full Date of Birth
3/5/2021,American Armed Forces Mutual Aid Association,01/28/2021,4318,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
3/4/2021,Americold Realty Trust,,3337,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Health Insurance Policy or ID Number; Medical Information; Biometric Data; Username and Password/Security Question Answers; Other
3/2/2021,Cardinal Logistics Management Corp.,,1308,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
3/2/2021,Northshore Utility District,,4900,Name; Financial & Banking Information; Other
02/27/2021,"Casemaker, LLC and Lawriter, LLC",7/1/2020,1690,Name; Email Address and Password/Security Question Answers; Other
02/26/2021,"BSN Sports, LLC",,523,Name; Financial & Banking Information
02/23/2021,Humana,10/12/2020,675,Name; Social Security Number; Full Date of Birth; Medical Information; Other
02/23/2021,Lakewood Water District,2/3/2021,14877,Name; Financial & Banking Information; Other
02/23/2021,Washington Education Association & Seattle Education Association,,17415,Name; Social Security Number; Full Date of Birth; Other
02/19/2021,Renton School District,4/5/2020,771,Name; Other
02/19/2021,The Kroger Co.,12/24/2020,153800,Name; Social Security Number; Full Date of Birth; Medical Information; Other
02/18/2021,"Lucid Lane, Inc.",12/18/2020,4,Other
02/17/2021,"Woodcreek Provider Services, LLC",12/3/2020,25917,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Health Insurance Policy or ID Number; Medical Information; Other
2/12/2021,Washington State Auditor's Office,,1420520,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Health Insurance Policy or ID Number; Other
2/10/2021,"City of Ellensburg, Washington",,8523,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
2/2/2021,The Brotherhood's Relief & Compensation Fund,1/3/2021,1563,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
2/1/2021,Gonzaga University,8/6/2020,8041,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers
01/29/2021,Grays Harbor Community Hospital,5/6/2019,4984,Name; Full Date of Birth; Medical Information
01/27/2021,Absher Construction Company,08/28/2020,1527,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
01/26/2021,thyssenkrupp Materials,12/28/2020,1250,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
01/26/2021,"Bosley, Inc.",,1936,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
01/26/2021,Puget Sound Educational Service District,4/5/2020,32419,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Other
01/25/2021,American Frame Corporation,,954,Name; Social Security Number; Financial & Banking Information; Other
01/25/2021,Einstein Healthcare Network,8/5/2020,1197,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
01/21/2021,Cardinal Financial Company,11/8/2020,925,Name; Full Date of Birth; Other
01/19/2021,Helen Keller International,2/7/2020,534,Name; Full Date of Birth
01/15/2021,"Walla Walla County, WA",,577,Username and Password/Security Question Answers
01/14/2021,National Western Life Insurance Company,,,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
01/13/2021,North Park University,2/7/2020,1239,Name; Full Date of Birth; Other
01/13/2021,Waters & Kraus LLP,12/5/2019,522,Name; Social Security Number; Driver's License or Washington ID Card Number; Medical Information
1/12/2021,"National Board for Certified Counselors, Inc.",08/31/2020,9898,Name; Social Security Number; Full Date of Birth; Other
1/11/2021,"ALE Solutions, Inc.",4/1/2020,736,Name; Social Security Number
1/11/2021,Jefferson Healthcare,11/9/2020,2496,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
1/8/2021,North American Partners in Anesthesia,06/17/2020,505,Name; Social Security Number; Driver's License or Washington ID Card Number; Health Insurance Policy or ID Number; Medical Information; Other
1/8/2021,"US Fertility, LLC (Seattle Reproductive Medicine)",8/12/2020,47952,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
1/8/2021,Convoy of Hope,2/7/2020,1017,Name; Full Date of Birth
1/5/2021,Grinnell College,2/7/2020,2465,Name; Full Date of Birth; Student ID Number
1/4/2021,"Peter Pan Seafoods, Inc.",12/12/2020,1661,Name; Social Security Number; Full Date of Birth; Other
12/31/2020,"Life Quotes, Inc.",10/20/2020,626,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
12/30/2020,Zoetop Business Co. Ltd. (ROMWE),7/1/2018,148785,Name; Username and Password/Security Question Answers; Other
12/30/2020,International Union of Bricklayers and Allied Craftworkers,6/4/2020,1053,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
12/28/2020,Prime Therapeutics,11/30/2020,897,Name; Medical Information
12/28/2020,"Pulmonary Hypertension Association, Inc.",2/7/2020,722,Name; Full Date of Birth
12/23/2020,Bucknell University,2/7/2020,710,Name; Full Date of Birth; Student ID Number; Other
12/23/2020,"Metabolic Maintenance Products, Inc.",10/1/2019,709,Name; Financial & Banking Information
12/23/2020,"Tree Top, Inc.",,9721,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
12/22/2020,Cedarville University,2/7/2020,1706,Name; Full Date of Birth; Student ID Number; Other
12/18/2020,Benton County of Washington,11/11/2019,820,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Health Insurance Policy or ID Number; Medical Information; Other
12/18/2020,Washington State Bar Association,3/10/2020,4051,Name; Financial & Banking Information
12/16/2020,Kappa Delta Foundation,2/7/2020,1508,Name; Full Date of Birth; Other
12/16/2020,"MEDNAX Services, Inc.",06/17/2020,29861,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
12/16/2020,Paysafe Group Holdings Limited,05/13/2018,1877,Name; Social Security Number; Financial & Banking Information; Other
12/11/2020,Fairfield University,2/7/2020,505,Name; Full Date of Birth
12/10/2020,Oklahoma State University Foundation,2/7/2020,1334,Name; Full Date of Birth; Other
12/9/2020,City University of Seattle,,1097,Name; Driver's License or Washington ID Card Number; Student ID Number; Military ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
12/4/2020,"USNR, LLC",09/28/2020,1368,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
12/1/2020,Kitsap County Credit Union,05/19/2020,3268,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
12/1/2020,Matson Navigation Company,,2991,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Other
12/1/2020,Stride Inc.,11/4/2020,742,Name; Social Security Number; Passport Number
11/20/2020,"Senior Operations, LLC (Senior Aerospace AMT & Damar AeroSystems)",10/21/2020,2543,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Passport Number; Other
11/18/2020,"Windstream Holdings II, LLC",7/11/2020,643,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information
11/13/2020,Georgia Southern University,2/7/2020,552,Name; Social Security Number; Full Date of Birth; Other
