BUSINESS NAME,START OF BREACH,END OF BREACH,DATE REPORTED,MONTANANS AFFECTED
U.S. Eagle Federal Credit Union,05/18/2021,07/14/2021,11/18/2021,3
"Utah Imaging Associates, Inc.",08/29/2021,9/4/2021,11/18/2021,381
Statewide Safety System,04/14/2021,04/14/2021,11/18/2021,15
Meritus Federal Credit Union,07/28/2021,07/28/2021,11/17/2021,1
"Hill & Associates, CPAs, P.C.",10/4/2021,10/4/2021,11/16/2021,4
"Diode Dynamics, L.L.C",09/26/2020,10/27/2021,11/16/2021,158
Quest Diagnostics,10/29/2021,10/29/2021,11/16/2021,6
FCS Financial,04/18/2021,04/18/2021,11/15/2021,31
Horicon Bank,09/20/2021,09/20/2021,11/15/2021,10
"True Health New Mexico, Inc.",10/5/2021,10/5/2021,11/15/2021,30
"T&T Staff Management, Inc.",08/29/2021,9/5/2021,11/15/2021,2
California Pizza Kitchen,09/15/2021,09/15/2021,11/15/2021,15
"Lakeshore Bone and Joint Institute, PC",7/7/2021,7/7/2021,11/15/2021,1
Olympus Corporation of the Americas,10/10/2021,10/10/2021,11/12/2021,8
"Strategic Benefits Advisors, Inc.",09/19/2021,09/19/2021,11/12/2021,40
Sarasota MRI,07/30/2021,07/30/2021,11/12/2021,4
"Enesco Parent, LLC d/b/a Enesco, LLC",08/13/2021,08/13/2021,11/12/2021,5
"Howard Law, LLC",3/5/2021,3/5/2021,11/12/2021,1
"Bansley and Kiener, L.L.P",08/20/2020,12/1/2020,11/30/2021,130
"DNA Diagnostics Center, Inc.",05/24/2021,07/28/2021,11/29/2021,4993
Psych Care Consultants,08/23/2021,08/26/2021,11/26/2021,7
"Green, Polack, & Company",04/30/2021,04/30/2021,11/26/2021,2
National Rifle Association,10/21/2021,10/23/2021,11/26/2021,2
Boulder Neurosurgical and Spine Associates,09/21/2021,09/21/2021,11/24/2021,21
Toyotetsu North America,10/7/2021,10/7/2021,11/24/2021,2
"Fiondella, Milone, & LaSaracina LLP",09/14/2021,09/14/2021,11/24/2021,18
"H.N.S. Management Company, Inc.",08/13/2021,9/3/2021,11/24/2021,1
Anna Maria College,01/25/2021,04/20/2021,11/24/2021,1
"DW Excavating, Inc.",09/27/2021,10/4/2021,11/24/2021,1
Huntington Hospital,10/1/2018,02/28/2029,11/24/2021,1
Astoria Company LLC,1/5/2021,2/8/2021,11/24/2021,1543
TriValley Primary Care,10/11/2021,10/11/2021,11/23/2021,6
MRI Network,7/8/2021,07/30/2021,11/23/2021,1
Justice Mission,03/25/2021,03/25/2021,11/23/2021,3
Docs Who Care,04/22/2021,08/27/2021,11/22/2021,3
One Community Health,04/19/2021,04/20/2021,11/22/2021,19
Providence St. Patrick Hospital,11/14/2021,11/17/2021,11/19/2021,1
Williams-Sanoma Inc.,11/13/2021,11/13/2021,11/19/2021,1
TTEC Services Corporation,03/21/2021,9/12/2021,12/8/2021,2302
"Weddell Pediatric Dental Specialists, LLC",07/23/2021,07/23/2021,12/8/2021,1
"Orgill, Inc.",10/28/2021,10/31/2021,12/8/2021,2
Home State Bank,09/17/2021,09/18/2021,12/8/2021,7
Tom Wood Group,9/1/2021,09/15/2021,12/7/2021,1
"TML Construction, Inc.",10/25/2021,10/25/2021,12/6/2021,1
Des Moines Cold Storage,4/6/2021,05/14/2021,12/6/2021,2
"Reggio Register Company, LLC",11/1/2021,11/4/2021,12/3/2021,4
American Council for International Studies,05/25/2021,6/10/2021,12/3/2021,28
University of Southern California,09/28/2021,09/28/2021,12/2/2021,1
Red Onion Saloon,09/21/2021,10/2/2021,12/2/2021,3
Musical Instrument Museum,07/30/2021,08/17/2021,12/2/2021,1
"Great Plains Manufacturing, Inc.",09/28/2021,10/11/2021,12/1/2021,5
"Vision Source, LP",09/19/2021,10/14/2021,12/1/2021,1
Blue Ridge Wealth Services,08/17/2020,08/17/2020,12/1/2021,2
Wolf Medical Supply,10/1/2021,10/4/2021,12/1/2021,1
GIS Holdings LLC,10/1/2021,10/1/2021,12/1/2021,2
Seneca Family of Agencies,08/25/2021,08/27/2021,11/30/2021,7
"Onondaga County Chapter, NYSARC, Inc.",08/15/2021,09/21/2021,11/30/2021,1
"Cedar Grove Composting, Inc.",8/1/2021,9/7/2021,11/30/2021,35
"Running Warehouse, LLC",10/1/2021,10/1/2021,12/16/2021,2214
"Tackle Warehouse, LLC",10/1/2021,10/1/2021,12/16/2021,1105
"Tennis Warehouse, LLC",10/1/2021,10/1/2021,12/16/2021,1309
Ghilotti Bros. Inc.,10/2/2020,10/2/2020,12/15/2021,1
McGrath RentCorp,07/17/2021,07/17/2021,12/15/2021,1
"Mutual of Omaha Mortgage, Inc.",08/30/2021,09/17/2021,12/15/2021,1
"Harken, Inc.",08/26/2021,10/14/2021,12/15/2021,4
"Dansons U.S., LLC",5/7/2021,7/9/2021,12/14/2021,45
"Saltzer Medical Group, Inc.",05/25/2021,6/1/2021,12/14/2021,105
Lozano Smith,1/1/2020,4/7/2021,12/14/2021,7
Oklahoma Family Title,06/25/2021,07/29/2021,12/13/2021,2
Sound Generations,07/18/2021,09/18/2021,12/13/2021,280
"Valley County, ID",1/1/2020,04/30/2021,12/10/2021,72
"BioPlus Specialty Pharmacy Services, LLC",10/25/2021,11/11/2021,12/10/2021,534
"Focus Medical Communications, LLC",10/12/2021,10/15/2021,12/10/2021,1
Simon Eye Management,5/12/2021,05/18/2021,12/10/2021,7
Travelers Indemnity Company,4/1/2021,11/17/2021,12/10/2021,24
Serenity Living Center Inc.,01/13/2021,01/13/2021,12/9/2021,1
"Mor Furniture for Less, Inc.",07/13/2021,07/16/2021,12/9/2021,1
Veterans First Mortgage,10/29/2021,10/29/2021,12/8/2021,2
Rochester Industries Placement Inc,10/16/2021,10/17/2021,12/29/2021,6
Fonville Morisey,10/22/2021,10/28/2021,12/29/2021,2
Florida Digestive Health Specialists,12/16/2020,12/16/2020,12/27/2021,2
Reliable Parts Inc.,08/18/2021,9/10/2021,12/27/2021,1
Creative Ventures dba Pro Wrestling Tees,4/1/2021,11/1/2021,12/23/2021,45
The Evangeline Bank and Trust Company,07/15/2021,09/20/2021,12/23/2021,1
"Innovations Group, Inc.",10/27/2021,10/30/2021,12/23/2021,563
InContext Advisors LLC,11/19/2020,12/24/2020,12/23/2021,1
"James Kagan, MD",7/10/2021,07/13/2021,12/22/2021,3
GFL Environmental Inc.,10/7/2021,10/8/2021,12/22/2021,2
Geocomp,09/24/2021,09/28/2021,12/22/2021,1
Bruss North America,10/28/2021,11/8/2021,12/21/2021,2
I.A.T.S.E. Local ONE,5/11/2021,8/2/2021,12/21/2021,7
Mon Health,5/10/2021,08/15/2021,12/21/2021,2
Southern Orthopaedic Associates dba Orthopaedic Institute of Western Kentucky,06/24/2021,7/8/2021,12/20/2021,3
Heirloom Roses,2/1/2021,10/26/2021,12/17/2021,210
Schafer Richardson LLC,08/31/2021,09/13/2021,12/16/2021,5
"Precision Shooting Equipment, Inc.",08/26/2021,10/24/2021,12/16/2021,2
"Goodwill of Central and Coastal Virginia, Inc.",11/20/2021,11/20/2021,12/16/2021,3
"Skater Warehouse, LLC",10/1/2021,10/1/2021,12/16/2021,537
Medical Review Institute of America,11/2/2021,11/16/2021,1/7/2022,829
"Bird, Marella, Boxer, Wolpert, Nessim, Drooks, Lincenberg & Rhow, P.C.",3/6/2021,04/17/2021,1/7/2022,1
Foundation Wellness,9/7/2021,10/4/2021,1/7/2022,10
"Index Fund Advisors, Inc.",8/5/2021,8/5/2021,1/6/2022,3
Advent Health Partners,9/1/2021,09/30/2021,1/6/2022,1
Jefferson Surgical Clinic,1/5/2021,1/5/2021,1/6/2022,13
"Smith System Driver Improvement Institute, Inc.",11/25/2020,11/17/2021,1/5/2022,3
"Marlabs, Inc.",1/2/2021,06/20/2021,1/5/2022,1
Central Specialties Inc.,08/18/2021,08/23/2021,1/4/2022,27
Wangs Alliance Corporation d/b/a/ WAC Lighting,3/11/2021,11/2/2021,1/4/2022,3
Franklin Park Conservatory and Botanical Gardens,07/16/2021,07/21/2021,1/4/2022,1
Ravkoo,09/27/2021,09/27/2021,1/3/2022,611
"Advocates, Inc.",10/1/2021,10/1/2021,1/3/2022,4
North Broward Hospital District,10/15/2021,10/15/2021,1/1/2022,140
A New Leaf,03/30/2021,03/30/2021,12/30/2021,8
Four B Corp.,09/26/2021,09/26/2021,12/30/2021,3
Equity Bancshares Inc,11/2/2021,11/2/2021,12/30/2021,37
Ciox Health LLC,06/24/2021,7/2/2021,12/30/2021,5
Xanitos Inc,5/6/2021,7/6/2021,12/30/2021,2
NVE Bank,07/29/2021,8/10/2021,12/29/2021,1
Startek,06/26/2021,06/26/2021,01/21/2022,4
"Hormann Northwest Door, LLC",08/27/2021,9/1/2021,01/21/2022,2
"Title Guaranty Company of Lewis County and Coast Title & Escrow, Inc.",10/28/2021,10/28/2021,01/21/2022,2
"Nuna Baby Essentials, Inc.",03/26/2020,4/7/2021,01/21/2022,83
Walsworth Publishing Company,10/21/2021,10/21/2021,01/20/2022,2
St. Lucie County's Drug Screening Lab,6/2/2017,10/13/2021,01/20/2022,3
"ExecuSearch Holdings, LLC",2/12/2021,2/12/2021,01/20/2022,4
"LendUS, LLC",2/2/2021,03/22/2021,01/19/2022,560
Pitco Foods,11/6/2021,11/6/2021,01/19/2022,1
Carthage R-9 School District,12/14/2021,12/14/2021,01/19/2022,1
Town of Colchester,12/8/2021,12/8/2021,01/19/2022,1
"Perennials and Sutherland, LLC",12/3/2021,12/5/2021,01/19/2022,1
Northwood Club,9/11/2021,09/13/2021,01/19/2022,1
Vail Health Services,12/11/2021,12/11/2021,01/18/2022,6
"Ciox Health, LLC",06/24/2021,7/2/2021,01/18/2022,1
Orthopaedic Associates of Allentown d/b/a OAA Orthopaedic Specialists,09/17/2021,09/24/2021,01/18/2022,2
The Young Men's and Young Women's Hebrew Association d/b/a The 92nd Street Y,8/1/2021,08/31/2021,01/18/2022,7
"AMI Entertainment Network, LLC",8/12/2021,10/8/2021,01/18/2022,1
"Ebara Technologies, Inc.",11/10/2021,11/10/2021,1/7/2022,4
Eden Housing,05/18/2021,8/11/2021,1/7/2022,1
Medtipster,08/25/2021,08/25/2021,01/28/2022,3
Fairmount Memorial Association,9/3/2020,9/8/2020,01/28/2022,30
Keller Supply Company,11/18/2021,11/18/2021,01/28/2022,338
"Farmers Telephone Cooperative, Inc.",06/30/2021,06/30/2021,01/28/2022,1
Envision Credit Union,8/5/2021,8/7/2021,01/28/2022,12
Internews Network,10/1/2015,10/31/2021,01/28/2022,6
"Jpay, Inc.",12/15/2020,03/13/2021,01/27/2022,1
Ally,12/22/2021,12/22/2021,1/27/2022,2
Morley Companies Inc.,8/1/2021,8/1/2021,01/26/2022,76
"Wheeler Upham, P.C",05/13/2021,05/13/2021,01/25/2022,1
Aditi Consulting,12/14/2021,12/14/2021,01/25/2022,2
Midland University,01/18/2021,01/18/2021,01/25/2022,31
"Custom Personnel, Inc.",1/2/2022,1/2/2022,01/24/2022,1
Spencer Gifts LLC,11/24/2021,11/26/2021,01/24/2022,50
Penn LLC dba PulseTV,11/1/2019,08/31/2021,01/24/2022,510
Valley Regional Transit,10/14/2021,10/14/2021,01/21/2022,3
"Medical Healthcare Solutions, Inc.",10/1/2021,10/4/2021,01/21/2022,13
"Interstate Title Solutions, Inc.",10/6/2021,10/6/2021,01/21/2022,10
"South Carolina, Interactive, LLC",05/27/2021,08/16/2021,01/21/2022,2
"Breslow Starling Frost Warner Boger Hiatt, PLLC",11/6/2021,11/7/2021,01/21/2022,1
"Warehouse Specialists, LLC",12/10/2021,12/10/2021,2/8/2022,1
National Math and Science Initiative,09/23/2021,10/18/2021,2/7/2022,19
Oregano's Pizza Bistro,11/24/2021,11/24/2021,2/7/2022,3
"KMG Prestige, Inc.",11/28/2021,11/28/2021,2/7/2022,3
"Cross Timbers Health Clinics, Inc. d/b/a AccelHealth",12/9/2021,12/15/2021,2/7/2022,4
Bay & Bay Transportation,11/18/2021,11/30/2021,2/4/2022,3
Bay Title Company,09/13/2021,09/21/2021,2/4/2022,1
Mortgage Connect LP,08/24/2021,10/14/2021,2/4/2022,21
"OTR Global Holdings II, Inc.",01/18/2022,01/20/2022,2/3/2022,2
Copeland Insurance Agency,8/3/2021,8/3/2021,2/3/2022,1
Injured Workers Pharmacy,01/16/2021,5/12/2021,2/3/2022,16
"Radius Financial Group, Inc.",7/7/2021,7/7/2021,2/3/2022,1
"Schwartz & Greenbaum, LLC",11/11/2021,11/29/2021,2/2/2022,1
"Concord Hospitality Enterprises Company, LLC",08/24/2021,08/24/2021,2/2/2022,1
Professional Personnel Services dba Luttrell Staffing Group,6/1/2021,06/18/2021,2/1/2022,1
Global Air Charters Inc.,12/9/2021,12/10/2021,2/1/2022,3
Providence St. Patrick Hospital,1/7/2021,1/7/2021,2/1/2022,1
"Classic Aviation Services, LLC",11/1/2021,11/1/2021,01/31/2022,4
"Ameriprise Financial Services, Inc.",1/3/2022,1/3/2022,01/28/2022,1
"Apex International Mfg, LLC",08/25/2021,9/1/2021,01/28/2022,1
Forward Air Corporation,11/01/2021,12/15/2021,09/24/2021,4
"Timmons Group, Inc.",9/14/2021,9/14/2021,10/06/2021,2
Defenders of Wildlife,09/14/2021,09/14/2021,09/16/2021,4
Epik,09/13/2021,09/15/2021,09/20/2021,200
Public School & Education Employee Retirement Systems of Missouri,9/11/2021,9/11/2021,10/14/2021,142
EMJ Corporation,9/05/2021,09/24/2021,09/27/2021,6
"Kerasotes Showplace Theatres, LLC",08/30/2021,08/30/2021,10/21/2021,5
Pacific City Bank,08/30/2021,08/30/2021,10/07/2021,15
Health & Safety Institute,08/30/2021,9/09/2021,10/05/2021,2
"The Victory Bank of Limerick, PA",08/28/2021,08/28/2021,9/03/2021,2
"SunBelt Xpress Logistics, Inc.",08/19/2021,08/26/2021,10/11/2021,5
"Lachman Consultant Services, Inc.",8/10/2021,8/10/2021,09/21/2021,2
McDonald Zaring Insurance Inc.,8/10/2021,8/10/2021,9/20/2021,41
Davidson Hotel Company LLC,8/10/2021,08/15/2021,09/17/2021,1
"ReproSource Fertility Diagnostics, Inc.",8/08/2021,8/10/2021,10/08/2021,83
St. Cloud Financial Credit Union,8/06/2021,8/10/2021,10/12/2021,12
"Family of Woodstock, Inc.",8/03/2021,8/03/2021,10/18/2021,1
"Wallick & Volk, Inc.",8/02/2021,8/05/2021,10/12/2021,16
The Young Men’s and Young Women’s Hebrew Association,8/01/2021,8/23/2021,10/01/2021,3
American Pool Enterprises Inc.,07/31/2021,8/01/2021,09/27/2021,5
Smith Protective Management,07/30/2021,8/01/2021,10/20/2021,7
Phil Long Dealerships,07/28/2021,07/28/2021,10/20/2021,6
"Scrap Metal Services, LLC",7/28/2021,8/05/2021,9/29/2021,1
"Ibex Global Solutions, Inc.",07/27/2021,08/17/2020,8/06/2021,115
American Welding & Gas Inc.,07/22/2021,07/28/2021,09/16/2021,77
Timios Inc.,07/20/2021,8/06/2021,09/18/2021,152
"Timios, Inc.",07/19/2021,07/25/2021,10/11/2021,285
Tyonek Native Corporation,7/18/2021,7/26/2021,9/08/2021,6
Buddhist Tzu Chi Medical Foundation,07/15/2021,07/15/2021,09/13/2021,2
"DuPage Medical Group, Ltd.",7/12/2021,7/12/2021,9/01/2021,28
"BackNine Insurance and Financial Services, Inc.",7/12/2021,7/12/2021,8/12/2021,43
Magers & Quinn Booksellers,7/08/2021,7/08/2021,10/13/2021,2
Resource Anesthesiology Association,7/08/2021,7/08/2021,9/05/2021,1
"Denton County, TX",7/07/2021,7/07/2021,08/27/2021,12
The Huntington National Bank/ TCF National Bank,7/07/2021,7/07/2021,8/11/2021,1
"Remedial Construction Services, L.P.",7/03/2021,08/20/2021,9/07/2021,3
San Andreas Regional Center,7/03/2021,7/05/2021,08/25/2021,7
World Travel Holdings,7/01/2021,7/07/2021,10/18/2021,4
Royell Manufacturing,7/01/2021,7/05/2021,10/04/2021,1
"Stenograph, L.L.C.",7/01/2021,7/01/2021,08/31/2021,14
"Harkins Builders, Inc.",06/30/2021,07/19/2021,08/26/2021,1
ACE Surgical Supply Co,06/29/2021,06/29/2021,10/06/2021,13
MoneyLion Inc.,06/29/2021,07/30/2021,09/24/2021,4
Sierra Air Conditioning,06/28/2021,06/29/2021,09/24/2021,1
"Career Group, Inc.",06/28/2021,7/07/2021,08/31/2021,7
"Strategic Technology Institute, Inc.",06/25/2021,06/25/2021,08/23/2021,1
CarePointe ENT,06/25/2021,06/25/2021,08/23/2021,4
"Taco John's International, Inc.",06/24/2021,06/24/2021,10/19/2021,8
"Greater Boston Legal Services, Inc.",06/24/2021,06/26/2021,09/14/2021,1
"Guardian Community Trust, Inc.",06/21/2021,06/21/2021,08/18/2021,2
International Orthodox Christian Charities (IOCC),06/21/2021,07/29/2021,8/03/2021,1
"CareATC, Inc.",06/18/2021,06/29/2021,08/27/2021,1
French Connection Holdings Inc.,06/16/2021,06/16/2021,8/09/2021,1
SAC Wireless,06/16/2021,06/16/2021,08/20/2021,13
"Mackenzie Engineering, Inc.",06/16/2021,07/16/2021,08/16/2021,2
Talbert House,6/11/2021,6/11/2021,09/30/2021,2
"Wm. G. Roe & Sons, Inc.",6/09/2021,06/13/2021,09/28/2021,1
Walter's Automotive Group,6/09/2021,06/16/2021,08/19/2021,5
Tri-State Tax & Accounting,6/08/2021,6/08/2021,07/27/2021,3
Duke Realty Corporation,6/07/2021,07/18/2021,08/13/2021,3
"Terrier Media Buyer, Inc. and Cox Media Group",6/03/2021,6/03/2021,10/08/2021,8
"Sears Hometown Stores, Inc.",6/03/2021,06/15/2021,08/24/2021,7
"Borracchini Foods, Inc.",05/31/2021,05/31/2021,10/15/2021,1
"Securatex, Ltd.",05/28/2021,05/28/2021,10/14/2021,1
Core North,05/28/2021,05/28/2021,10/18/2021,1
"Columbia Helicopters, Inc.",05/27/2021,07/16/2021,08/24/2021,44
"Provisur Technologies, Inc.",05/25/2021,6/05/2021,08/20/2021,1
Prairie State Bank & Trust,05/24/2021,05/25/2021,9/03/2021,1
JP Morgan Chase & Co,05/24/2021,07/14/2021,08/13/2021,7
Greater New York Mutual Insurance Company,05/23/2021,6/01/2021,10/19/2021,3
"L.M. Henderson & Company, LLP",5/22/2021,6/03/2021,9/09/2021,4
State University of New York (SUNY) Research Foundation,05/22/2021,7/09/2021,08/13/2021,9
Goose River Bank,05/21/2021,05/22/2021,08/27/2021,35
"Engineered Specialty Products, Inc.",05/19/2021,05/20/2021,08/16/2021,2
21c Museum Hotels LLC,05/18/2021,05/25/2021,10/15/2021,1
"Northwest Pipe Fittings, Inc.",05/17/2021,05/19/2021,10/12/2021,1524
"Layman, Diener, and Borntrager Insurance Agency",05/17/2021,05/17/2021,09/28/2021,7
Clover Park School District,5/12/2021,5/26/2021,10/06/2021,11
"JP Noonan Transportation, Inc.",5/11/2021,6/03/2021,10/15/2021,1
The Brock Group,5/11/2021,6/03/2021,8/10/2021,1
Phillips Academy,5/08/2021,05/25/2021,09/21/2021,3
Colonial Pipeline Company,5/06/2021,5/06/2021,08/13/2021,1
Van Vliet Wellness & Insurance Solutions,5/05/2021,08/18/2021,10/01/2021,9
SEIU 775 Benefits Group,5/04/2021,5/04/2021,5/05/2021,681
"Priority One Financial Services, Inc.",5/03/2021,05/17/2021,08/27/2021,36
Premier Patient Health Care,04/30/2021,08/31/2021,10/01/2021,5
"LineStar Integrity Services, LLC",04/29/2021,04/29/2021,08/31/2021,4
"Direct Travel, Inc.",04/28/2021,04/28/2021,10/18/2021,3
"Bioness, Inc.",04/28/2021,05/20/2021,8/06/2021,2
"Mountain State Financial Group, LLC",04/26/2021,04/26/2021,05/25/2021,3
Smile Brands Inc.,04/24/2021,04/24/2021,09/28/2021,35
Donegal Mutual Insurance Company,04/23/2021,06/23/2021,08/20/2021,4
New York Life Insurance,04/23/2021,04/23/2021,08/16/2021,3
Rockwood School District,04/20/2021,06/24/2021,08/19/2021,1
"Plumsted Township, NJ",04/19/2021,05/24/2021,10/08/2021,1
"Country Inn & Suites by Radisson, Kalispell",04/19/2021,04/19/2021,5/07/2021,6
Rental Equipment Investment Corporation,04/16/2021,04/16/2021,08/26/2021,76
Meador & Jones LLP,04/14/2021,04/15/2021,09/17/2021,2
New York Life Insurance,4/13/2021,5/12/2021,9/28/2021,5
"Pendrick Capital Partner Holdings, LLC",4/12/2021,05/14/2021,08/23/2021,19
Anvil Corporation,4/12/2021,4/12/2021,04/30/2021,70
The Dixie Group,4/09/2021,04/19/2021,08/18/2021,1
Peoples Bank and Trust,4/09/2021,4/09/2021,5/12/2021,18
Carnival Corporation,4/08/2021,4/08/2021,10/06/2021,63
Intermountain Farmers Association,4/08/2021,4/08/2021,05/21/2021,9
Citizens Bank of Las Cruces,4/07/2021,4/07/2021,09/20/2021,1
HealthReach Community Health Centers,4/07/2021,5/07/2021,9/07/2021,31
Wiggin and Dana LLP,4/05/2021,04/28/2021,09/14/2021,1
Douglas Elliman Property Management,4/05/2021,4/07/2021,04/23/2021,1
Paramark Corp.,4/04/2021,4/04/2021,8/03/2021,1
4 Seasons Real Estate,4/04/2021,4/04/2021,04/29/2021,27
Notifying Entities,4/03/2021,4/03/2021,04/23/2021,9
Coughlin & Gerhart LLP,4/02/2021,4/03/2021,10/05/2021,7
"Haynes Furniture Company, Inc.",4/02/2021,4/04/2021,09/20/2021,16
U.S. Bank,03/31/2021,03/31/2021,5/04/2021,1
The Menninger Clinic,03/30/2021,03/30/2021,09/24/2021,4
AmeriCommerce by Cart.com,03/25/2021,03/29/2021,04/23/2021,25
"K and B Surgical Center, LLC",03/24/2021,03/30/2021,9/03/2021,"14,772"
"Lydall, Inc.",03/24/2021,03/24/2021,04/26/2021,5
Marnell Companies,03/23/2021,03/23/2021,05/13/2021,7
"Highlands Ranch Community Association, Inc.",03/21/2021,03/21/2021,10/21/2021,5
Destination Maternity,03/20/2021,03/20/2021,08/13/2021,254
"Diversified Financial Services, LLC",03/19/2021,06/14/2021,9/02/2021,18
Carnival Corporation & PLC,03/19/2021,03/19/2021,05/21/2021,44
"Aspen Dental Management, Inc.",03/19/2021,03/20/2021,05/21/2021,1
"Ipsen, Inc.",03/18/2021,03/27/2021,8/06/2021,1
ProQuest Energy LLC,03/13/2021,4/09/2021,10/13/2021,33
"Springfield Armory, Inc.",3/12/2021,3/12/2021,08/16/2021,1
"Beth Moore & Associates, CPAs",3/11/2021,05/17/2021,09/30/2021,2
"Gross Electric, Inc.",3/10/2021,3/10/2021,04/26/2021,1
"Internal medicine Associates of Jasper, PC",3/08/2021,3/08/2021,5/05/2021,9
OSF HealthCare System,3/07/2021,4/23/2021,10/01/2021,2
UnitedHealthcare,3/07/2021,03/15/2021,5/11/2021,8
Peak Vista Community Health Centers,3/07/2021,3/07/2021,04/23/2021,1
"NexBank Capital, Inc.",3/04/2021,04/19/2021,09/16/2021,10
"JHT Holdings, Inc.",3/04/2021,03/22/2021,5/07/2021,22
AmeriGas Propane,3/04/2021,3/05/2021,04/16/2021,1
"Benetech, Inc.",3/02/2021,4/02/2020,4/01/2021,1
Coinbase,3/01/2021,05/20/2021,10/07/2021,7
"Phillip Galyen, PC",3/01/2021,03/31/2021,05/14/2021,
Loudoun Mutual Insurance Company,3/01/2021,03/13/2021,5/07/2021,1
Marine Bank & Trust,02/28/2021,3/06/2021,9/09/2021,3
Bank of the West,02/27/2021,02/27/2021,4/12/2021,2
Schiller Ducanto and Fleck LLP,02/26/2021,02/26/2021,04/14/2021,1
Simms Fishing Products,02/26/2021,3/01/2021,4/06/2021,7
Atlantic Media,02/25/2021,4/01/2021,4/07/2021,6
Newbridge Securities Corporation,02/24/2021,03/18/2021,10/14/2021,58
Blue Cross and Blue Shield of Kansas City,02/23/2021,02/23/2021,05/26/2021,4
"On Q Financial, Inc.",02/22/2021,02/24/2021,4/12/2021,51
Fieldale Farms,02/21/2021,03/25/2021,05/21/2021,1
Ace Recycling and Disposal,02/20/2021,02/20/2021,5/10/2021,2
Arabian Horse Association,02/20/2021,03/31/2021,5/02/2021,61
"Bay Alarm Medical, LLC",02/19/2021,4/09/2021,05/14/2021,10
"City of Kingman, Arizona",02/18/2021,02/26/2021,08/23/2021,1
Sapphire Community Health,02/18/2021,02/18/2021,04/18/2021,3751
