Name.of.Company,Date.of.the.Breach,Date.of.Notification,ME.Affected
"John Y. Trent & Associates LLC, 814 Fulton Street, Farmingdale, NY 11735",2017-09-29,2018-04-04,4
"US GreenFiber LLC, 5500 77 Center Drive, Suite 100, Charlotte, NC  28217",2018-02-12,2018-04-03,2
"The Alabama Ballet, 2726 1st Avenue South, Birmingham, AL 35233",2018-03-02,2018-03-30,1
"Pro World, Inc., 961 Bethel Ave., Pennsauken, NJ 08110",2018-02-25,2018-03-26,1
"MS Thornton, CPA, PO Box 1059, Cardiff, CA 92007",2018-03-05,2018-03-25,1
"Clinical Pathology Laboratories Southeast, Inc. (""CPLSE"")",2017-09-20,2018-03-21,8
"Buffalo Jackson Trading Co., LLC",2018-02-01,2018-03-13,2
Chipolte FOS Only,2018-02-01,2018-03-13,10
CiCi's Pizza,2018-02-01,2018-03-13,1
North 40 Outfitters,2018-02-01,2018-03-13,3
Tennis Express,2018-02-01,2018-03-13,27
"CNU Online Holdings LLC, d/b/a NetCredit, 175 W. Jackson Blvd., Suite 1000, Chicago, IL 60604",2018-02-19,2018-03-13,7
"Quanta Technology, LLC, 4020 Westchase Blvd, Suite 300, Raleigh, NC 27607",2018-03-02,2018-03-09,2
"Nova Southeastern University, 3301 College Ave., Fort Lauderdale, FL 33314",2018-02-09,2018-03-09,1
"ICF, 9300 Lee Highway, Fairax, VA 22031",2018-02-08,2018-03-02,2
"ASI Constructors, Inc., 280 East 20th Avenue, Denver, CO 80205",2018-01-31,2018-02-28,8
"California College of the Arts, 1111 Eighth Street, San Francisco, CA 94107",2018-01-19,2018-02-26,1
"Santa Cruz Biotechnology, Inc., 10410 Finnell Street, Dallas, TX 75220",2017-12-17,2018-02-22,2
"Kinetics Systems, Inc., 3083 Independence Drive, Livermore, CA 94511",2018-01-25,2018-02-09,68
"Corporate Employment Resources, Inc., 27777 Franklin Road, Suite 600, Southfield, MI 48034",2018-01-26,2018-02-08,2
"County of Waldo Commissioner's Office, 39B Spring Street, Belfast, Maine 04915",2018-02-05,2018-02-06,103
"PAR Electrical Contractors, Inc., 4770 N. Belleview Ave., Ste 300; Kansas City, MO 64116",2017-12-22,2018-02-05,130
"Make-up Designory, 25311 Avenue Stanford, Valencia, CA 91355",2018-01-24,2018-02-02,1
"Eastern Salt Company, Inc., 134 Middle Street, Suite 210; Lowell, MA 01852",2018-01-18,2018-02-02,1
"Belmont Savings Bank, 2 Leonard Street, Belmont, MA 02478",2017-11-30,2018-02-01,2
Saginaw Valley State University,2017-11-26,2018-01-24,3
Gourmesso,2017-12-01,2018-01-24,1
"Pension  Fund of the Christian Church, 1099 N. Meridian St., Ste 700, Indianapolis, IN 46204",2017-09-18,2018-01-16,10
"Pension  Fund of the Christian Church, 1099 N. Meridian St., Ste 700, Indianapolis, IN 46204",2017-10-12,2018-01-16,23
"Monticellow Central School District, 237 Forestburgh Road, Monticellow, NY 12701",2017-11-01,2018-01-12,2
"Cetera Advisors, LLC, 4600 South Syracuse Street, Suite 600, Denver, CO 80237",2017-11-08,2018-01-08,11
"Mid-Atlantic Carpenters' Training Center, 8510 Pennsylvania Ave, Upper Marlboro, MD 20772",2017-10-19,2017-12-29,9
"James Rinaldi, CPA",2017-09-01,2017-12-29,9
"STP Nuclear Operating Company, PO Box ?, Wadsworth, TX 77483",2017-12-12,2017-12-19,1
"Houghton Mifflin Harcourt Publishing Company, 125 High Street, Boston, MA 02110",2017-11-28,2017-12-15,1
"Arcadis U.S. Inc,, 630 Plaza Drive, Suite 100, Highlands Ranch, CO 80129",2017-11-05,2017-12-14,6
"Lincoln National Life Insurance Company, 1300 S. Clinton Street, Fort Wayne, IN 46802",2017-10-19,2017-11-28,1
"Baylor College of Medicine, One Baylor Plaza, Houston, TX 77030",2016-10-18,2017-11-21,4
39DollarGlasses.com,2017-10-01,2017-11-20,35
Char Broil,2017-10-01,2017-11-20,2
Classic Firearms,2017-10-01,2017-11-20,5
Dailysale.com,2017-10-01,2017-11-20,83
ICSC,2017-10-01,2017-11-20,1
Minnesotaworkwear.com,2017-10-01,2017-11-20,2
Pure Prescriptions,2017-10-01,2017-11-20,7
Spark Pay Online,2017-10-01,2017-11-20,14
Wet N Wild Beauty,2017-10-01,2017-11-20,7
"USA Hoist Company, Inc., Mid-American Elevator Company, Inc. and Mid-American Elevator Equipment Company, Inc., 820 North Wilcott Ave., Chicago, IL 60622",2017-10-17,2017-11-14,1
"State of Maine Department of Health and Human Services, 11 State House Station, Augusta, Maine 04333",2017-09-21,2017-11-13,1886
"City of Holly Springs, 3237 Holly Springs Parkway, Holly Springs, GA 30115",2017-09-29,2017-11-10,2
"SallieMae, 300 Continental Drive, Newark, DE 19713 (SmartyPig LLC d/b/a Q2 Labs)",2017-10-23,2017-11-09,3
"Little River Healthcare - Central Texas, LLC d/b/a Little River Waco Ear Nose and Throat",2017-06-26,2017-11-07,1
"North American Title Company, 760 Northwest 107th Avenue, Suite 400, Miami, FL 33172",2017-06-27,2017-11-03,2
"College of theHoly Cross, 1 College Street, Worcester, MA 01610",2017-09-22,2017-10-20,1
"CCI Holdings, Inc. d/b/a Coin Café, 240 Kent Ave, Brooklyn, NY 11249",2014-04-11,2017-10-18,5
"International Council of Shopping Centers (""ICSC"") - Update",2017-09-15,2017-10-16,4
"Provo Craft & Novelty, Inc., d/b/a Cricut, 10855 South River Front Parkway #400, South Jordan, Utah 84095",2017-05-27,2017-10-12,119
"Droege Computing Services, 20 West Colony Place, Durham, NC 27705",2017-09-26,2017-10-10,26
"McNair & Company, Inc.1313 Dolley Madison Blvd, Suite 309, McLean, VA 22101",2017-08-17,2017-10-05,1
"Cheddar's Cashual Café Inc., 2900 Ranch Trail, Irving, TX 75063",2017-07-21,2017-09-29,19
"Century LLC, 1000 Century Blvd, Oklahoma City, Oklahoma 73110",2017-07-01,2017-09-25,10
"NCI Group, Inc., 10943 North Sam Houston Parkway West, Houston, TX 77064",2017-08-08,2017-09-22,3
"W.W. Grainger, Inc., 100 Grainger Parkway, Lake Forest, IL 60045",2017-08-23,2017-09-19,54
"TRUEbenefits LLC, 1215 4th Ave, Suite 2200; Seattle, WA 98161",2017-05-18,2017-09-18,8
"Brambles USA Inc., 180 Technology Parkway, Suite 600, Norcross, GA 30092",2017-08-14,2017-09-15,2
AMERICAN QUILTERS SOCIETY,2017-08-01,2017-09-12,3
Chipolte,2017-08-01,2017-09-12,9
Commercial Industrial Supply,2017-08-01,2017-09-12,1
"Fairfield Mint, LLC",2017-08-01,2017-09-12,5
Framesbymail,2017-08-01,2017-09-12,1
Halocigs,2017-08-01,2017-09-12,7
Insect lore,2017-08-01,2017-09-12,2
Magills GV Glockstore,2017-08-01,2017-09-12,8
MSG - Concessions,2017-08-01,2017-09-12,2
Shannon Restaurant LLC,2017-08-01,2017-09-12,2
Sole Society,2017-08-01,2017-09-12,8
Tieks by Gavrieli,2017-08-01,2017-09-12,14
Trump Hotels,2017-08-01,2017-09-12,1
"ABB, Inc., 305 Gregson Drive, Cary, NC 27511",2017-08-25,2017-09-11,31
"Fiduciary Management, Inc., 100 E. Wisconsin Ave, #2200, Milwaukee, WI 53202",2017-08-07,2017-09-06,6
"Gregory Wilt, CPA, Mario Bottoni CPA, Advanced Financial Services, Inc., and Accu-Pay Payroll and Bookkeeping Svcs, Inc., 320 Fayette Street, Manlius, NY 13104",2017-05-01,2017-08-31,2
"Mr. Cooper, 8950 Cypress Waters Blvd., Coppell, TX 75019",2017-08-05,2017-08-30,19
Red Roof Inns,2016-08-10,2017-08-29,16
"Taylor University, 236 W. Reade Ave, Upland, IN 46989",2017-04-17,2017-08-23,2
"American Friends Service Committee, 1502 Cherry Street, Philadelphia, PA 19102",2017-04-12,2017-08-21,4
"Tax-On-Time, LLC, 55 Park Avenue, Rutherford, NJ 07070",2017-06-06,2017-08-17,7
All States AG Parts Inc,2017-07-01,2017-08-17,2
American Blue Ribbon Holdings,2017-07-01,2017-08-17,2
Catholic Answers,2017-07-01,2017-08-17,8
Combex D2C,2017-07-01,2017-08-17,13
Comfort Inn Stephens City,2017-07-01,2017-08-17,2
Freshproduceclothes.com,2017-07-01,2017-08-17,12
Halocigs,2017-07-01,2017-08-17,7
IHG,2017-07-01,2017-08-17,10
Joes Downtown Brewery and Rest,2017-07-01,2017-08-17,1
Read-a-thon Fundraising,2017-07-01,2017-08-17,5
Spark Pay Online,2017-07-01,2017-08-17,1
Sportsmemorabilia.com,2017-07-01,2017-08-17,5
Sunstar Americas.com,2017-07-01,2017-08-17,4
"Chiznar & Company CPA's LLC, 98 Cutter Mill Road, Great Neck, NY 11021",2017-06-27,2017-08-16,1
Salina Family Healthcare Center,2017-06-18,2017-08-16,2
"TRUEbenefits LLC, 1215 4th Ave, Suite 2200; Seattle, WA 98161",2017-05-18,2017-08-14,2
Northwest Rheumatology,2017-04-10,2017-07-31,2
"Paris Las Vegas Operating Company, LLC d/b/a Paris Las Vegas, NV 89109",2016-08-10,2017-07-31,1
"Stout Street Hospitality, 818 17th Street, Denver, CO 80202",2017-06-06,2017-07-28,7
"Citizens Financial Group, 100 Sockanosset Crossroad, Cranston, RI 02920 (email)",2017-06-20,2017-07-27,3
"Delek US Holdings, Inc., 7102 Commerce Way, Brentwood, TN 37027",2017-05-23,2017-07-26,6
"Ameriprise Financial, Inc., 707 2nd Ave A, Minneapolis, MN 55474",2017-06-07,2017-07-14,45
"Movement Mortgage , 8024 Calvin Hall Road, Indian Land, SC 29707",2016-08-01,2017-07-10,2
"Hard Rock International, 6100 Old Park Lane, Orlando, FL 32835",2017-06-06,2017-07-07,19
"Signature Hardware, Inc; 2700 Crescent Springs Pike, Erlanger KY 41017",2017-04-28,2017-07-07,32
"Open Text Corporation, 105 Adelaide St. West, Suite 1200, Toronto, Ontario M5H 1P9 Canada",2017-06-25,2017-07-06,2
"Ensign-Bickford Industries, Inc., 125 Powder Forest Drive, Simsbury, CT 06070",2017-06-16,2017-07-05,4
"Reverse Mortgage Funding, LLC",2017-05-23,2017-06-30,1
"Aqua-Aston Hospitality, LLC, 2155 Kalakaua Avenue, 5th Floor, Honolulu, HI 96815",2016-08-08,2017-06-29,8
"US Cellular Corp, 8410 W Bryn Mawr, Chicago, IL 60631",2017-04-05,2017-06-27,393
"Burdette Smith & Bish LLC, 4035 Ridge Top Road, Suite 550, Fairfax, VA 22030",2017-03-23,2017-06-26,1
Arby's,2017-05-01,2017-06-22,1
Brooks Brothers,2017-05-01,2017-06-22,125
Easy Breath Inc.,2017-05-01,2017-06-22,5
Fun Eats and Drinks,2017-05-01,2017-06-22,6
Gold Country Casino & Hotel,2017-05-01,2017-06-22,1
HK Parts,2017-05-01,2017-06-22,3
Horchow Collection CTG,2017-05-01,2017-06-22,1
Jewelry.com,2017-05-01,2017-06-22,1
Kuru Footwear,2017-05-01,2017-06-22,5
Prana Living,2017-05-01,2017-06-22,58
Rand McNally,2017-05-01,2017-06-22,2
"Roberts Hawaii Tours Inc.,",2017-05-01,2017-06-22,1
Socksaddict.com,2017-05-01,2017-06-22,9
Tennis Express,2017-05-01,2017-06-22,16
"Thomas Strauss, Inc.",2017-05-01,2017-06-22,1
Verifone,2017-05-01,2017-06-22,2
www.therafitshow.com,2017-05-01,2017-06-22,1
"David Turrentine & Associates, Inc., 2610 West Eastwood Avenue, Chicago, IL 60625",2017-03-30,2017-06-20,1
"Atlantic Digestive Specialists, 21 Clark Way, Route 108, Somersworth, NH 03878 (email)",2017-02-18,2017-06-20,35544
"Occidental College, 1600 Campus Road, Los Angeles, CA 90041",2017-06-01,2017-06-19,5
The Nielsen Company,2017-05-18,2017-06-15,2
"SMH Enterprises, 839 St. Charles Ave #200, New Orleans, LA 70130",2017-05-30,2017-06-09,NA
"The Forum for Youth Investment, 7064 Eastern Ave, NW, Washington, DC 20012",2017-03-19,2017-06-08,15
"Washington State University, P.O. Box 641048, Pullman, WA",2017-04-21,2017-06-05,544
"Signature Hardware, Inc; 2700 Crescent Springs Pike, Erlanger KY 41017",2017-07-27,2017-06-02,1
"Signature Hardware, Inc; 2700 Crescent Springs Pike, Erlanger KY 41017",2017-04-28,2017-06-02,22
"Campbell Union High School District, 3235 Union Ave., San Jose, CA  94124",2017-04-06,2017-06-01,1
"O'Brien Riley & Ryan, P.C.,",2017-04-28,2017-06-01,3
"O'Brien Riley & Ryan P.C.,",2017-04-28,2017-06-01,3
"Funding Circle USA, Inc., 747 Front Street, Floor 4, San Francisco, CA 94111",2017-04-27,2017-05-30,23
"Airway Oxygen, Inc., P.O. Box 9410, Wyoming, MI 49509",2017-04-18,2017-05-26,24
"Maddaloni Nydick & Keenan, PC, 30 Columbia Turnpike, Suite 204, Florham Park, NJ 07932",2017-01-28,2017-05-19,1
"Neeley-Nemeth LLP, d/b/a Barton Oaks Dental Group",2017-03-23,2017-05-18,4
24X7,2017-04-01,2017-05-16,3
A&M LLC,2017-04-01,2017-05-16,1
CZ Custom 2,2017-04-01,2017-05-16,1
DRB Systems,2017-04-01,2017-05-16,3
Essick Air Products,2017-04-01,2017-05-16,10
Evereve #99,2017-04-01,2017-05-16,1
Fatquartershop.com,2017-04-01,2017-05-16,2
HDIS,2017-04-01,2017-05-16,75
Indigo Wild,2017-04-01,2017-05-16,13
Jerrys Artarama Web,2017-04-01,2017-05-16,4
Kontrolfreek,2017-04-01,2017-05-16,5
Lang.com,2017-04-01,2017-05-16,26
Opentip.com,2017-04-01,2017-05-16,8
Piketopeak.com,2017-04-01,2017-05-16,2
Rough Country,2017-04-01,2017-05-16,4
Rubber Stamp End Button Champ,2017-04-01,2017-05-16,3
Wet N Wild Beauty,2017-04-01,2017-05-16,5
"Nicopure Labs LLC, 7916 Evolutions Way, Suite 200, Trinity, FL 34655",2017-04-03,2017-05-16,132
"University of New Mexico Foundation, 2 Woodward Center, Albuquerque, NM 87102",2017-02-16,2017-05-15,33
"Bechtel Oil, Gas & Chemicals Construction Services, Inc., 3000 Post Oak Blvd, Houston, TX 77056",2017-04-27,2017-05-10,1
"Wesleyan College, 4760 Forsyth Road, Macon, GA 31210 (email)",2017-04-10,2017-05-04,1
"Pratt Industries, Inc., 1800-C Sarasota Pkwy, Conyers, GA 30013 (paper)",2017-04-19,2017-05-01,1
"Extreme Reach, Inc., 75 2nd Avenue, Suite 720, Needham, MA 02494 (email)",2017-02-08,2017-04-28,1
"Pacific Quest, 15 Kanoa Street, Hilo, Hawaii 96720 (email)",2017-01-30,2017-04-27,1
Hill Country Memorial Hospital (paper),2017-02-21,2017-04-25,1
"KeraLink International, 5520 Research Park Drive, Suite 400, Baltimore, MD 21228 (email)",2017-04-06,2017-04-25,1
"Brace Industrial Group/Platinum Scaffolding Services, 14950 Heathrow Forest Pkwy, Suite 150, Houston, TX 77032 (email)",2017-02-27,2017-04-22,1
"Atlantic Digestive Specialists, PLLC, 21 Clark Way, Route 108, Somersworth, NH 03878 (email)",2017-02-18,2017-04-21,548
"Behavioral Health Center, 77 Court Street, Bangor, ME 04401 (email)",2017-03-14,2017-04-19,4229
24X7 (Payment Ingegrator (paper),2016-09-01,2017-04-17,3
39DOLLARGLASSES.COM (paper),2016-09-01,2017-04-17,29
ACADEMY OF MODEL AERONAUT (paper),2016-09-01,2017-04-17,20
BRILLIANT BOOK HOUSE LLC (paper),2016-09-01,2017-04-17,1
HARD ROCK HOTEL & CASINO (paper),2016-09-01,2017-04-17,1
INTEX RECREATION CORP (paper),2016-09-01,2017-04-17,26
LOVE BOOK LLC (paper),2016-09-01,2017-04-17,4
SILENCER SHOP (paper),2016-09-01,2017-04-17,1
SWIMOUTLET.COM (paper),2016-09-01,2017-04-17,119
THE EASTWOOD COMPANY (paper),2016-09-01,2017-04-17,23
"Citizens Financial Group, 100 Sockanosset Crossroad, Cranston, RI 02920 (email)",2017-02-01,2017-04-05,1
"Elbit Systems of America, 220 Daniel Webster Highway, Merrimack, NH 03054 (paper)",2017-03-01,2017-04-03,3
"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA 94043 (email & paper)",2017-03-19,2017-04-03,2
"TriTech Software Systems, 9477 Walples Street, Suite 100, San Diego, CA 92121 (email)",2017-02-16,2017-03-30,3
"Daytona State College, 1200 W. International Speedway Blvd, Daytona Beach, FL 32114 (email)",2017-01-01,2017-03-30,16
"IntelePeer Holdings, Inc., (paper)",2017-02-01,2017-03-23,NA
Veolia North America (email and paper),2017-01-26,2017-03-23,9
"Urology Austin, Austin, TX (paper)",2017-01-22,2017-03-22,16
"Atwood Distributors LP, 500 So Garland Road, Enid, Oklahoma 73703; 580-233-3702 (paper)",2016-02-01,2017-03-21,2
"Massachusetts General Hospital, 55 Fruit Street, Boston, MA  02129 (paper)",2017-02-24,2017-03-21,1
Groton Public Schools  (paper),2017-03-01,2017-03-20,1
"Sarnova, Inc., 5000 Tuttle Crossing Blvd, Dublin, Ohio 43016 (email)",2017-01-20,2017-03-30,1
"Great Falls Holdings, Inc., 121 Mill Street, Auburn, ME 04210 (email)",2017-02-23,2017-03-24,1642
"Schurman Fine Papers d/b/a Schurman Retail Group, 500 Chadbourne Road, Fairfield, CA 94533 (email)",2017-01-18,2017-03-21,16
"Arapahoe Mental Health Center (d/b/a All Health Network), 155 Inverness Drive West, Sutie 200, Englewood, CO 80112 (paper & email)",2017-02-07,2017-03-20,1
"Hertzbach & Company, P.A., 800 Red Brook Blvd, Suite 300, Owings Mills, ME 21117",2017-01-30,2017-03-20,1
"Berg LLC, 500 Old Connecticut Path, Framingham, MA  01701 (email)",2017-02-01,2017-03-20,1
"The J.N. Phillips Company, Inc., 11 Wheeling Avenue, Woburn, MA  01801 (email)",2017-02-16,2017-03-17,3
Blast from the past too (paper),2017-02-01,2017-03-15,13
Dressing your truth (paper),2017-02-01,2017-03-15,2
Honeyville Grain Online (paper),2017-02-01,2017-03-15,2
"Paint Nite LLC, 230 Somerville Avenue, Somerville, MA 02143 (paper)",2017-03-08,2017-03-14,3
"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA  94043 (email & paper)",2017-02-21,2017-03-10,2
"Hutchinson and Bloodgood LLP, 550 N. Brand Blvd, 14th Floor, Glendale, CA 91203 (email)",2016-12-21,2017-03-10,6
"Frost & Sullivan, 7550 IH 10 West, Suite 400, San Antonio, TX 78229 (paper)",2017-03-03,2017-03-09,1
"Crotched Mountain Foundation, Inc. (paper)",2017-02-17,2017-03-07,13
"University of Idaho, 875 Perimeter Drive, MS 3151, Moscow, ID 83844",2017-01-24,2017-03-06,1
"Toscano Clements Taylor, LLC, 16 Oakwood Road, Huntington, NY 11743",2017-03-03,2017-03-06,1
"Cayan LLC, 1 Federal Street, Second Floor, Boston, MA 02110",2017-02-09,2017-03-01,3
"Ulteig Engineers, Inc., 3350 38th Ave S, Fargo, ND 58102",2017-02-18,2017-03-01,3
"Palm Bay Int'l, 48 Harbor Park Drive, Port Washington, NY 11050 (paper)",2017-01-17,2017-02-28,1
"Chimes Gourmet-Roxy Trading, Inc., 389 N. Humane Way, Pomona, CA 91768",2017-01-22,2017-02-28,9
"Equian LLC, 5975 Castle Creek Parkway N. Dr. #100, Indianapolis, IN 46250",2017-01-20,2017-02-27,3
"Ameriprise Financial, Inc., 707 Second Avenue S, Minneapolis, MN 55474",2016-12-14,2017-02-27,1
"Allied Minds, LLC, 100 High Street, 28th Floor, Boston, MA 02110",2017-02-13,2017-02-24,1
"John Deere Financial, 6400 NW 86th St, Johnston, IA 50131",2017-01-24,2017-02-24,1
"CenturyLink, 100 CenturyLink Dr., Monroe, LA 71203",2017-01-30,2017-02-23,1
"State Bank of Lincoln, 508 Broadway, Lincoln, IL 62656",2017-01-03,2017-02-21,2
"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA  94043",2017-02-13,2017-02-21,1
"Bentley University, 175 Forest Street, Waltham, MA 02452",2017-01-23,2017-02-21,1
"Amplify Education, Inc., 55 Washington Street, 8th Floor, Brooklyn, NY 11201",2017-02-02,2017-02-16,2
"The Honest Kitchen, Inc., 111 14th Street, San Diego, CA 92101",2016-11-30,2017-02-14,61
"HealthInfoNet, 125 Presumpscot St., Box 8, Portland, ME 04103",2017-01-24,2017-02-14,57
San Diego Christian College,2017-02-06,2017-02-13,1
"Plymouth Harbor on Sarasota Bay, 700 John Ringling Blvd, Sarasota, FL 34236",2017-02-08,2017-02-13,1
"TransPerfect Global, Inc., 3 Park Avenue, 39th Floor, NY, NY 10016",2017-01-17,2017-02-10,3
