Organization Name,Date(s) of Breach,Reported Date,Number of Potentially Affected Delaware Residents
Filters Fast LLC,7/15/19,27/8/20,1492
Heifer Project International,5/14/20,21/8/20,1225
Dave Inc.,6/23/20,21/8/20,7299
Arbiter Sports,6/3/20,24/8/20,1790
Westcor Land Title Insurance,1/10/20,25/8/20,1114
Delaware Nature Society,5/20/20,21/8/20,624
Med-Delaware Imaging,1/24/20,14/7/20,8784
Next Glass Inc (via Beer Advocate Inc),2012,17/7/20,897
Morgan Stanley,3/1/2016,14/7/20,74837
Morgan Stanley,2/21/20,14/7/20,167
Collabera Inc.,5/24/20,10/7/20,596
Steel Partners Holdings LP,4/18/20,29/6/20,614
Mathway LLC,05/15/20,22/5/20,Unknown
Jobscience,5/1/18,4/4/19,5646
City of Lewes Board of Public Works,04/15/19,29/5/19,623
Zynga,10/22/19,31/8/19,640
Collins Aerospace,10/7/19,22/11/19,6
Macy’s,10/7/19,14/11/19,889
Amerihealth Caritas Delaware,Unknown,14/11/19,1393
Amateur Athletic Union,10/1/18,13/9/19,809
CafePress,02/19/19,4/9/19,54797
Woods and Woods,01/15/20,11/3/20,118
Jambav Inc.,11/11/19,2/1/20,6382
Carnival,4/11/19,2/3/20,415
Landry’s Inc.,03/13/19,31/12/19,Unknown
Wawa,03/14/19,19/12/19,Unknown
Main Event Entertainment,4/9/20,29/4/20,Unknown
Volusion,9/7/19,20/4/20,Unknown
AST LLC,3/9/20,14/4/20,1
Brandywine Counseling & Community Services,2/10/20,10/4/20,5827
Primo Hoagies,07/15/19,Unknown,Unknown
Zoosk,1/12/20,3/6/20,16120
Icahn Automotive Group,03/13/20,29/5/20,591
"Minted, LLC",05/15/20,27/5/20,6300
"Delta Air Lines, Inc.",09/26/17,11/4/18,763
"ComplyRight, Inc.",04/20/18,12/7/18,888
Hudson’s Bay Company,7/1/17,26/4/18,Unknown
Brinker International,3/1/18,18/5/18,Unknown
"CPT Group, Inc.",11/22/17,8/5/18,690
"TaskRabbit, Inc.",4/11/18,14/5/18,4747
"Starr Insurance Holdings, Inc.",04/24/18,24/5/18,1
CBS Interactive,1/1/18,25/5/18,847
SEIU Local 32BJ,11/13/17,26/5/18,1015
Transamerica,3/1/17,1/6/18,3
"Elmcroft Senior Living, Inc.",5/10/18,8/6/18,30
"MyHeritage, Ltd.",10/26/17,15/6/18,Unknown
"ATI Holdings, LLC.",1/9/18,21/6/18,4272
MedEvolve,03/29/18,10/7/18,10565
CNG Financial Corp,07/11/18,15/8/18,2635
"Animoto, Inc",7/10/18,16/8/18,8842
Cheddar’s Scratch Kitchen,11/3/18,22/8/18,Unknown
Tech Rabbit LLC,02/22/17,21/9/18,817
Performance Food Group,Unknown,19/9/18,575
Travel Leaders Group,06/14/18,22/10/18,1
Bankers Life,05/30/18,25/10/18,9451
TengoInternet Inc.,prior to 04/18,26/10/18,1874
Jand Inc d/b/a/Warby Parker,9/25/18,20/12/18,Unknown
Hartford Life and Accident Ins. Co,2/1/19,8/2/19,1393
"Vitalize, LLC d/b/a Bodybuilding.com",7/1/18,24/4/19,17100
ShareThis Inc.,7/1/18,28/2/19, Unknown
Earl Enterprises,5/23/18,29/3/19, Unknown
Pie Five Pizza,9/7/18,5/4/19, Unknown
RS Medical,2/11/19,5/4/19,1
"Inmediata Health Group, Corp.",1/1/19,30/4/19,1027
"Key West Hotels, LLC. d/b/a  The Key Ambassador Resort Inn",2/7/18,2/4/19,1
Dominion National,8/25/10,21/6/19,95781
"Checkers Drive in Restaurants, Inc.",10/1/18,29/5/19, Unknown
ZOLL Services LLC,11/8/18,18/3/19,1100
Oklahoma Dept. of Securities (ODS),11/29/18,20/6/19,508
"Drury Hotels Company, LLC",12/29/17,24/5/19,6
"Evite, Inc.",2/22/19,10/6/19,40787
"Mediant Communications, Inc.",4/1/19,31/5/19,559
Sprint Business,6/8/19,11/7/19,1930
"CBL Path, Inc.",3/21/19,15/7/19,2360
"StockX, LLC",5/14/19,8/8/19,9439
Capitol One,3/22/19,8/8/19,275
Georgia Institute of Technology,12/14/18,13/8/19,3146
Lyons Companies,2/4/19,23/8/19,5067
Foxit Software,Unknown,30/8/19, Unknown
EyeBuyDirect,9/1/18,11/10/19,2817
"Web.com Group, Inc.",8/22/19,22/10/19,7206
