"Wolfe Clinic, P.C.",06/29/2021,2/8/2021,,,,,,,,,,,,,,,,,,,,
Pharmavite LLC,06/28/2021,4/6/2021,,,,,,,,,,,,,,,,,,,,
Abode Services ,06/25/2021,03/16/2021,,,,,,,,,,,,,,,,,,,,
Highmark Inc.,06/24/2021,12/23/2020,,,,,,,,,,,,,,,,,,,,
"Maximus, Inc. ",06/23/2021,05/17/2021,,,,,,,,,,,,,,,,,,,,
"Asset Marketing Services, LLC d/b/a GovMint.com",06/23/2021,05/21/2020,,,,,,,,,,,,,,,,,,,,
"Royal Caribbean Cruises Ltd., on behalf of the Royal Caribbean Group",06/23/2021,2/6/2021,,,,,,,,,,,,,,,,,,,,
Tiburcio Vasquez Health Center Inc.,06/22/2021,2/6/2021,,,,,,,,,,,,,,,,,,,,
Stephen F. McFadden CPA ,06/22/2021,n/a,,,,,,,,,,,,,,,,,,,,
Amgen Inc.,06/22/2021,04/21/2021,,,,,,,,,,,,,,,,,,,,
Naito Corporation dba Made In Oregon,06/18/2021,n/a,,,,,,,,,,,,,,,,,,,,
"AmeriFirst Financial, Inc. ",06/18/2021,07/13/2020, 12/14/2020,,,,,,,,,,,,,,,,,,,
Prominence Health Plan,06/18/2021,11/30/2020,,,,,,,,,,,,,,,,,,,,
"STG International, Inc.",06/16/2021,10/22/2020, 01/12/2021,,,,,,,,,,,,,,,,,,,
"Herff Jones, LLC",06/16/2021,1/11/2021,,,,,,,,,,,,,,,,,,,,
KENNETH WEISS AND COMPANY PC ,06/16/2021,04/27/2021,,,,,,,,,,,,,,,,,,,,
"Aspiration Financial, LLC",06/16/2021,05/20/2021,,,,,,,,,,,,,,,,,,,,
Archbishop Mitty High School,06/16/2021,05/17/2020,,,,,,,,,,,,,,,,,,,,
Ally Financial Inc,06/15/2021,02/18/2021,,,,,,,,,,,,,,,,,,,,
"HOYA Optical Labs of America, Inc.",6/11/2021,03/15/2021,,,,,,,,,,,,,,,,,,,,
"NEC Networks, LLC d/b/a CaptureRx",6/11/2021,2/6/2021,,,,,,,,,,,,,,,,,,,,
San Dieguito Union High School District,6/11/2021,4/12/2021,,,,,,,,,,,,,,,,,,,,
Maricopa County Community Colleges District,6/10/2021,3/12/2021, 03/16/2021,,,,,,,,,,,,,,,,,,,
"Volkswagen Group of America, Inc. ",6/10/2021,n/a,,,,,,,,,,,,,,,,,,,,
Alderson Broaddus University (“Alderson Broaddus”),6/10/2021,01/22/2021, 01/27/2021,,,,,,,,,,,,,,,,,,,
"AireSpring, Inc.",6/10/2021,4/7/2021,,,,,,,,,,,,,,,,,,,,
"Warren Resources, Inc.",6/9/2021,04/14/2021, 04/17/2021,,,,,,,,,,,,,,,,,,,
Hnilo Naturals LLC,6/9/2021,10/1/2020,,,,,,,,,,,,,,,,,,,,
"Progrexion ASG, Inc. ",6/9/2021,3/3/2021, 04/22/2021,,,,,,,,,,,,,,,,,,,
HCI LLC,6/8/2021,02/21/2020,,,,,,,,,,,,,,,,,,,,
