Name.of.Company,Date.of.Breach,Reported.Date,state,State.Residents.Affected
"Elevated Title, LLC",2021-07-21,2021-10-14,CA,500
"Stone Pigman Walther Wittmann, L.L.C.",2021-02-24,2021-10-14,CA,500
The Public School and Education Employees Retirement Systems of Missouri,2021-09-11,2021-10-14,CA,500
Newbridge Securities Corporation,2021-02-24,2021-10-14,CA,500
American Osteopathic Association,2020-06-25,2021-10-13,CA,500
PetroQuest Energy LLC,2021-04-09,2021-10-13,CA,500
National Community Renaissance of California,2021-01-01,2021-10-12,CA,500
"Timios, Inc.(“Timios”)",2021-07-19,2021-10-11,CA,500
"ReproSource Fertility Diagnostics, Inc.",2021-08-08,2021-10-08,CA,500
"Terrier Media Buyer, Inc. dba Cox Media Group",2021-06-03,2021-10-08,CA,500
Pacific City Bank,2021-08-19,2021-10-07,CA,500
Buddhist Tzu Chi Education Foundation,2021-07-15,2021-10-06,CA,500
Synchrony Bank,2021-07-31,2021-10-05,CA,500
"Pulmuone Foods USA, Inc.",2021-08-16,2021-10-01,CA,500
"The Neiman Marcus Group, LLC (“NMG” or the “Company”)",2020-05-02,2021-09-30,CA,500
"Coinbase, Inc. ",2021-03-17,2021-09-27,CA,500
"MTG USA, Inc.",2021-06-15,2021-09-26,CA,500
Golden Entertainment,2021-01-24,2021-09-24,CA,500
Forward Air Corporation,2020-12-15,2021-09-24,CA,500
"Innovative Construction Solutions (""ICS"")",2021-06-17,2021-09-22,CA,500
"Navistar, Inc.",2021-05-20,2021-09-21,CA,500
"Epik Holdings, Inc.",2021-09-13,2021-09-20,CA,500
"PFU America, Inc.",2020-11-30,2021-09-17,CA,500
Sugar Steel Corporation,2020-12-08,2021-09-17,CA,500
B&B Transport Inc.,2021-09-08,2021-09-16,CA,500
"Metabolic Maintenance Products, Inc.",2020-05-01,2021-09-16,CA,500
King’s Seafood Company,2021-06-04,2021-09-15,CA,500
Eastern Los Angeles Regional Center,2021-07-15,2021-09-13,CA,500
Dick Blick Holdings,2020-03-11,2021-09-13,CA,500
"HCI, LLC",2020-09-02,2021-09-13,CA,500
Carpenter Co,2021-03-18,2021-09-11,CA,500
Nations Lending Corporation,2021-07-26,2021-09-10,CA,500
Buddhist Tzu Chi Medical Foundation,2021-07-15,2021-09-09,CA,500
"Cedarlane Natural Foods, Inc.",2021-05-20,2021-09-09,CA,500
UC San Diego Health,2020-12-02,2021-09-09,CA,500
California Massage Therapy Council,2020-11-04,2021-09-08,CA,500
"Resource Anesthesiology Association of California, a Medical Corporation",2021-07-08,2021-09-05,CA,500
"K and B Surgical Center, LLC",2021-03-24,2021-09-03,CA,500
Smile Brands Inc.,2021-04-23,2021-09-03,CA,500
CA Department of State Hospitals - Coalinga,2013-07-21,2021-09-03,CA,500
"Sequoia Concepts, Inc.",2021-06-28,2021-09-02,CA,500
"DuPage Medical Group, Ltd.",2021-07-12,2021-09-01,CA,500
"MFA Financial, Inc.",2021-03-10,2021-09-01,CA,500
"Career Group, Inc.",2021-06-28,2021-08-31,CA,500
"Healthpointe Medical Group, Inc.",2021-06-09,2021-08-30,CA,500
Mater Dei High School,2021-01-01,2021-08-30,CA,500
"SmartStart Employment Screening, Inc.",2020-05-13,2021-08-27,CA,500
LifeLong Medical Care,2020-11-24,2021-08-27,CA,500
"SAC Wireless, LLC",2021-04-13,2021-08-26,CA,500
T-Mobile USA,2021-07-22,2021-08-25,CA,500
San Andreas Regional Center,2021-07-03,2021-08-25,CA,500
County of Los Angeles Fire Department,2021-07-13,2021-08-24,CA,500
"American Freight, LLC and its related subsidiaries and affiliates, including American Freight Outlet Stores, LLC ",2020-11-24,2021-08-24,CA,500
"Syufy Enterprises, LP",2020-09-07,2021-08-24,CA,500
"Pendrick Capital Partner Holdings, LLC",2021-04-12,2021-08-23,CA,500
Santa Clara Valley Transportation Authority,2021-03-25,2021-08-23,CA,500
Walter's Automotive Group,2021-06-09,2021-08-19,CA,500
"The Dixie Group, Inc. ",2021-04-09,2021-08-18,CA,500
"Secure Administrative Solutions, LLC (""SAS"")",2021-04-18,2021-08-17,CA,500
"BackNine Insurance and Financial Services, Inc.",2015-04-23,2021-08-17,CA,500
The Research Foundation for the State University of New York,2021-05-22,2021-08-13,CA,500
"Academic HealthPlans, Inc.",2020-08-02,2021-08-13,CA,500
"JPMorgan Chase Bank, N.A.",2021-05-24,2021-08-13,CA,500
On Lok Senior Health Services,2021-05-14,2021-08-12,CA,500
"Jim Provencher (""the Firm"")",2020-09-08,2021-08-11,CA,500
"Morgan Truck Body, LLC",2021-07-16,2021-08-11,CA,500
"Bath & Body Works Direct, Inc.",2021-06-20,2021-08-10,CA,500
Abode Services,2021-03-16,2021-08-09,CA,500
"Ibex Global Solutions, Inc. (“Ibex”)",2020-07-27,2021-08-06,CA,500
"MLD Mortgage, Inc.",2021-07-07,2021-08-06,CA,500
NTS Holding Corporation ,2020-11-02,2021-08-05,CA,500
University of Kentucky,2021-01-08,2021-08-05,CA,500
Transtar Industries Inc.,2021-01-09,2021-08-04,CA,500
"Transamerica Retirement Solutions, LLC",2021-06-04,2021-08-04,CA,500
"Tuff Shed, Inc.",2021-02-10,2021-08-03,CA,500
"LERETA, LLC",2020-05-21,2021-08-02,CA,500
Buddhist Tzu Chi Foudation,2021-07-15,2021-08-02,CA,500
"Divvy Up, Inc.",2021-05-10,2021-07-30,CA,500
WideOrbit LLC,2020-07-01,2021-07-30,CA,500
Ryan Specialty Group,2021-04-04,2021-07-30,CA,500
Motor Trend Group LLC,2021-06-19,2021-07-29,CA,500
"A2Z Diagnostics, LLC",2021-02-02,2021-07-28,CA,500
D&K Engineering Inc.,2021-05-19,2021-07-27,CA,500
Transform SR Holding Management LLC,2021-06-03,2021-07-26,CA,500
Specialty Tax & Bookkeeping Services,2021-03-01,2021-07-26,CA,500
Inner City Law Center,2020-08-04,2021-07-23,CA,500
G2 Insurance Services,2021-02-02,2021-07-23,CA,500
Savory Spice,2018-04-05,2021-07-23,CA,500
"Resort Data Processing, Inc.",2019-01-01,2021-07-22,CA,500
"Hyphen, LLC",2021-03-13,2021-07-21,CA,500
CMC Tax Services,2020-11-30,2021-07-20,CA,500
SafetyCall International,2020-11-24,2021-07-19,CA,500
Davaco LP,2021-06-11,2021-07-19,CA,500
eJuice Direct ,2020-08-15,2021-07-16,CA,500
California Student Aid Commission,2021-07-08,2021-07-16,CA,500
"Guidehouse on behalf of Community Memorial Health System located in Ventura, CA",2021-01-20,2021-07-16,CA,500
Cohen Milstein Sellers & Toll PLLC,2021-01-23,2021-07-15,CA,500
"CSI Financial Services, LLC (“ClearBalance”)",2021-03-08,2021-07-09,CA,500
"Guess?, Inc.",2021-02-02,2021-07-09,CA,500
CNA Financial Corporation,2021-03-05,2021-07-08,CA,500
"Forefront Management, LLC and Forefront Dermatology, S.C.",2021-05-28,2021-07-08,CA,500
Hello Housing,2020-11-24,2021-07-07,CA,500
"Stride, Inc.",2020-11-04,2021-07-06,CA,500
VotePlus10 Inc. DBA Impactree,2021-07-01,2021-07-02,CA,500
Morgan Stanley,2021-01-20,2021-07-02,CA,500
"The Paradies Shops, LLC ",2020-10-08,2021-07-02,CA,500
"Discovery Practice Management, Inc. ",2020-06-22,2021-07-01,CA,500
Nevada Restaurant Services Inc.,2021-01-16,2021-07-01,CA,500
Professional Business Systems d/b/a Practicefirst Medical Management Solutions and PBS Medcode Corp.,2020-12-25,2021-07-01,CA,500
Arthur J. Gallagher & Co.,2020-07-02,2021-06-30,CA,500
Hudson Envelope of New Jersey Corp. ,2020-06-25,2021-06-30,CA,500
Marsh McLennan,2021-04-22,2021-06-30,CA,500
"Wolfe Clinic, P.C.",2021-02-08,2021-06-29,CA,500
Pharmavite LLC,2021-04-06,2021-06-28,CA,500
Abode Services ,2021-03-16,2021-06-25,CA,500
Highmark Inc.,2020-12-23,2021-06-24,CA,500
"Maximus, Inc. ",2021-05-17,2021-06-23,CA,500
"Asset Marketing Services, LLC d/b/a GovMint.com",2020-05-21,2021-06-23,CA,500
"Royal Caribbean Cruises Ltd., on behalf of the Royal Caribbean Group",2021-02-06,2021-06-23,CA,500
Tiburcio Vasquez Health Center Inc.,2021-02-06,2021-06-22,CA,500
Amgen Inc.,2021-04-21,2021-06-22,CA,500
"AmeriFirst Financial, Inc. ",2020-07-13,2021-06-18,CA,500
Prominence Health Plan,2020-11-30,2021-06-18,CA,500
"STG International, Inc.",2020-10-22,2021-06-16,CA,500
"Herff Jones, LLC",2021-01-11,2021-06-16,CA,500
KENNETH WEISS AND COMPANY PC ,2021-04-27,2021-06-16,CA,500
"Aspiration Financial, LLC",2021-05-20,2021-06-16,CA,500
Archbishop Mitty High School,2020-05-17,2021-06-16,CA,500
Ally Financial Inc,2021-02-18,2021-06-15,CA,500
"HOYA Optical Labs of America, Inc.",2021-03-15,2021-06-11,CA,500
"NEC Networks, LLC d/b/a CaptureRx",2021-02-06,2021-06-11,CA,500
San Dieguito Union High School District,2021-04-12,2021-06-11,CA,500
Maricopa County Community Colleges District,2021-03-12,2021-06-10,CA,500
Alderson Broaddus University (“Alderson Broaddus”),2021-01-22,2021-06-10,CA,500
"AireSpring, Inc.",2021-04-07,2021-06-10,CA,500
"Warren Resources, Inc.",2021-04-14,2021-06-09,CA,500
Hnilo Naturals LLC,2020-10-01,2021-06-09,CA,500
"Progrexion ASG, Inc. ",2021-03-03,2021-06-09,CA,500
HCI LLC,2020-02-21,2021-06-08,CA,500
Victor Valley Union High School District,2021-02-26,2021-06-03,CA,500
Supplemental Income Trust Fund; MonRoc Administrators LLC,2021-03-22,2021-06-03,CA,500
"DiCon Fiberoptics, Inc.",2021-03-14,2021-06-03,CA,500
City of Azusa Police Department,2021-03-09,2021-06-02,CA,500
Scripps Health,2021-04-29,2021-06-01,CA,500
"20/20 Eye Care Network, Inc.",2021-01-11,2021-05-29,CA,500
"USA Waste-Management Resources, LLC",2021-01-21,2021-05-28,CA,500
"STG Holdings, LLC (""STG"")",2020-05-03,2021-05-27,CA,500
Plains Commerce Bank,2020-12-10,2021-05-27,CA,500
Accucom Corporation,2020-05-25,2021-05-27,CA,500
Underwriters Laboratories Inc and UL Inc.,2020-10-17,2021-05-26,CA,500
"Building Material Distributors, Inc.",2020-09-18,2021-05-26,CA,500
"Sugarfina USA, LLC",2019-11-01,2021-05-25,CA,500
Infinity Insurance Company,2021-01-07,2021-05-25,CA,500
"Custom Benefit Programs, Inc., an Aon Company",2020-12-17,2021-05-21,CA,500
"Atrium Windows and Doors, Inc",2020-12-24,2021-05-21,CA,500
"Defender Industries, Inc.",2020-11-22,2021-05-21,CA,500
Rehoboth McKinley Christian Health Care Services,2021-01-21,2021-05-19,CA,500
Health Plan of San Joaquin (HPSJ),2020-09-26,2021-05-18,CA,500
"The NOCO Company (""NOCO"")",2019-10-08,2021-05-18,CA,500
Marshall Medical Center,2021-02-06,2021-05-18,CA,500
Phillip Galyen PC,2021-03-01,2021-05-14,CA,500
REEF Global Inc.,2020-09-30,2021-05-14,CA,500
M Bar C Construction,2020-07-09,2021-05-14,CA,500
University of California,2020-12-24,2021-05-13,CA,500
Midvale Indemnity Company,2021-01-19,2021-05-13,CA,500
"American Family Mutual Insurance Company, S.I.",2021-02-06,2021-05-13,CA,500
Sacramento County IHSS Public Authority,2021-02-28,2021-05-12,CA,500
Oak Valley Community Bank ,2021-02-01,2021-05-11,CA,500
State Automobile Mutual Insurance Company,2021-03-11,2021-05-11,CA,500
"Aspen Education Group, Inc.",2020-12-13,2021-05-10,CA,500
SAC Health System,2020-11-15,2021-05-10,CA,500
San Diego Family Care,2020-12-03,2021-05-09,CA,500
Arabian Horse Association,2021-02-20,2021-05-07,CA,500
"Anchor Loans, LP (""Anchor Loans"")",2021-02-22,2021-05-07,CA,500
Exceltox Laboratories,2021-02-15,2021-05-07,CA,500
"TradeSource, Inc.",2020-12-27,2021-05-07,CA,500
"Telmate, LLC",2020-08-13,2021-05-07,CA,500
SEIU 775 Benefits Group,2021-04-04,2021-05-07,CA,500
Farmers Insurance,2021-01-20,2021-05-04,CA,500
21st Century Insurance Company,2021-01-20,2021-05-04,CA,500
"Divvy Up, Inc.",2020-12-01,2021-05-03,CA,500
"Northern California Medical Associates, Inc.",2021-02-19,2021-05-03,CA,500
OHL North America,2021-03-18,2021-05-03,CA,500
Sonus Hearing Care Professionals,2021-03-05,2021-05-03,CA,500
"St. John’s Well Child and Family Center, Inc. ",2021-02-03,2021-04-29,CA,500
Community Eldercare of San Diego dba St. Paul's PACE,2020-12-31,2021-04-29,CA,500
"Insurance Technologies Corporation, on behalf of the insurance brokers listed in Exhibit A of ""ITC - Notification to California AG - Apr 29.""",2021-02-27,2021-04-29,CA,500
"ClearVoiceResearch.com, LLP",2021-04-16,2021-04-29,CA,500
"Natural Habitat, Inc. (""Nat Hab"")",2020-09-24,2021-04-28,CA,500
"Capital Brands Distribution, LLC",2021-01-05,2021-04-27,CA,500
Med-Data Incorporated,2018-12-01,2021-04-26,CA,500
Doctors Medical Center of Modesto ,2019-12-01,2021-04-23,CA,500
"Foodland Super Market, Limited; Kalama Beach Corporation; Coffee Pacific LLC; Pacific Sweets, LLC; Food Pantry, Ltd.",2021-03-17,2021-04-23,CA,500
Smith and Company,2021-03-23,2021-04-22,CA,500
Health Center Partners of Southern California,2020-10-22,2021-04-21,CA,500
Blade HQ,2021-01-07,2021-04-19,CA,500
"Administrative Advantage, LLC obo Remedy Medical Group",2020-06-23,2021-04-16,CA,500
Fort Hays State University Foundation,2020-05-20,2021-04-16,CA,500
Government Employees Insurance Company,2021-01-21,2021-04-15,CA,500
"FPI Management, Inc.",2020-08-06,2021-04-15,CA,500
"AmeriFirst Financial, Inc.",2020-12-02,2021-04-15,CA,500
"Don Roberto Jewelers, Inc.",2021-02-16,2021-04-15,CA,500
Seven Hills School,2020-02-07,2021-04-13,CA,500
"VEP Healthcare, Inc.",2019-11-15,2021-04-13,CA,500
Ascentium Corporation dba SMITH,2020-12-24,2021-04-13,CA,500
"On Q Financial, Inc.",2021-02-21,2021-04-12,CA,500
Hamilton Beach Brands,2020-12-18,2021-04-09,CA,500
"American College of Emergency Physicians (""ACEP"")",2020-04-08,2021-04-09,CA,500
"McDougall & Sons, Inc.",2021-01-10,2021-04-09,CA,500
MailMyPrescriptions.com Pharmacy Corporation ,2020-02-03,2021-04-08,CA,500
Neighborhood Healthcare,2020-11-24,2021-04-08,CA,500
"Atlantic Media, Inc.",2021-02-25,2021-04-07,CA,500
American Society for Clinical Pathology,2020-03-30,2021-04-07,CA,500
"Minnetonka Moccasin Company, Inc.",2020-11-25,2021-04-06,CA,500
Marines' Memorial Association & Foundation ,2020-05-20,2021-04-06,CA,500
"Active Lifestyle Products & Services, Inc., d/b/a as ALPS Brands ",2020-04-20,2021-04-05,CA,500
Trinity Health,2021-01-20,2021-04-05,CA,500
CA Department of State Hospitals,2019-02-01,2021-04-05,CA,500
Slate & Tell LLC,2020-03-01,2021-04-02,CA,500
"Crestline Hotels & Resorts, LLC",2020-05-25,2021-04-02,CA,500
Bricker & Eckler LLP,2021-01-14,2021-04-02,CA,500
"MHNext, LLC",2021-02-01,2021-04-02,CA,500
"USG Insurance Services, Inc.",2020-10-27,2021-04-01,CA,500
"Suburban Collection Holdings, LLC",2020-07-04,2021-03-31,CA,500
"Liberty Mutual Group, Inc. ",2020-11-21,2021-03-30,CA,500
"La Clinica de La Raza, Inc. (La Clinica)",2021-01-12,2021-03-29,CA,500
"BioTel Heart (a trade name under which both CardioNet, LLC and LifeWatch, Inc. operate)",2020-08-09,2021-03-26,CA,500
Santa Catalina School,2020-02-07,2021-03-26,CA,500
Health Net of California,2021-01-07,2021-03-25,CA,500
Health Net Life Insurance Company,2021-01-07,2021-03-25,CA,500
Health Net Community Solutions,2021-01-07,2021-03-25,CA,500
CalViva Health,2021-01-07,2021-03-25,CA,500
California Health & Wellness,2021-01-07,2021-03-25,CA,500
Rosa Mexicano Company,2020-10-06,2021-03-25,CA,500
The National Wildlife Federation,2019-02-06,2021-03-24,CA,500
"Capcom U.S.A., Inc.",2020-11-01,2021-03-24,CA,500
Ascentium inc. and Ascentium Corp. (Smith),2020-12-24,2021-03-23,CA,500
State Controller's Office,2021-03-18,2021-03-23,CA,500
"Hagerty Insurance Agency, LLC",2021-02-02,2021-03-23,CA,500
Solairus Aviation,2020-12-06,2021-03-22,CA,500
PCS Revenue Control Systems,2019-12-20,2021-03-22,CA,500
Victor Community Support Services,2021-01-19,2021-03-19,CA,500
Brandman Centers for Senior Care,2020-12-28,2021-03-19,CA,500
Cancer Treatment Centers of America at Midwestern Regional Medical Center,2021-01-12,2021-03-19,CA,500
"SunMed Group Holdings, LLC",2020-10-11,2021-03-19,CA,500
Insulet Corporation,2021-01-13,2021-03-19,CA,500
CA Department of State Hospitals,2020-11-06,2021-03-17,CA,500
"Western Union Financial Services, Inc.",2020-12-24,2021-03-17,CA,500
Infinity Insurance Company,2020-12-14,2021-03-16,CA,500
"Channel Control Merchants, LLC (“CCM”)",2020-10-15,2021-03-16,CA,500
"Automation Personnel Services, Inc.",2020-11-17,2021-03-16,CA,500
Quality CPR Care LLC dba American CPR Care Association,2020-11-15,2021-03-15,CA,500
CPR AED Course LLC dba American Health Care Academy,2020-06-01,2021-03-15,CA,500
Alameda-Contra Costa Transit District,2020-04-07,2021-03-15,CA,500
"Flagstar Bank, FSB",2021-01-20,2021-03-15,CA,500
Central California Alliance for Health,2020-04-28,2021-03-11,CA,500
Security Industry Specialists,2020-06-01,2021-03-11,CA,500
Pan-American Life Insurance Group,2021-02-16,2021-03-11,CA,500
Island Hotel Company Limited doing business as Atlantis Paradise Island,2020-10-17,2021-03-09,CA,500
Humana Inc,2020-10-12,2021-03-08,CA,500
Metromile Insurance Company,2020-12-01,2021-03-06,CA,500
The American Armed Forces Mutual Aid Association,2021-01-28,2021-03-05,CA,500
Los Angeles Philharmonic Association,2020-12-03,2021-03-04,CA,500
Saint Alphonsus Health System,2021-01-04,2021-03-04,CA,500
Root Insurance Company,2021-01-21,2021-03-04,CA,500
Americold Realty Trust,2020-10-29,2021-03-04,CA,500
La Jolla Country Day School,2020-02-20,2021-03-03,CA,500
Hurtigruten,2020-12-14,2021-03-02,CA,500
The Hartford Fire Insurance Company,2020-12-01,2021-03-02,CA,500
Cardinal Logistics Management Corp.,2020-10-20,2021-03-02,CA,500
"BSN Sports, LLC",2019-04-24,2021-02-26,CA,500
Santa Rosa Community Health Centers,2020-01-29,2021-02-26,CA,500
"Arrow Truck Sales, Inc.",2020-11-16,2021-02-26,CA,500
International Medical Corps,2020-02-07,2021-02-26,CA,500
"Summit Behavioral Healthcare, LLC",2020-05-12,2021-02-26,CA,500
"CertifiedSafety, Inc.",2020-06-12,2021-02-25,CA,500
"Kaiser Foundation Hospitals, Northern California",2015-01-01,2021-02-23,CA,500
Principal Life Insurance Company,2021-02-05,2021-02-23,CA,500
San Francisco University High School,2020-02-07,2021-02-22,CA,500
"ITOCHU International Inc. (""III"")",2020-09-08,2021-02-22,CA,500
E & J Gallo Winery,2020-11-07,2021-02-19,CA,500
The Kroger Co. and its affiliated companies (“Kroger”),2020-12-24,2021-02-19,CA,500
"Sequoia Capital Operations, LLC",2021-01-07,2021-02-18,CA,500
AxleHire Inc. ,2021-01-31,2021-02-17,CA,500
Alicia Surgery Center ,2020-10-24,2021-02-16,CA,500
Harvard Eye Associates,2020-10-24,2021-02-16,CA,500
Apprentice and Journeymen Training Trust Fund of the Southern California Plumbing & Piping Industry,2020-10-14,2021-02-16,CA,500
"Citywide Home Loans, LLC",2020-11-18,2021-02-16,CA,500
Elwyn,2019-10-09,2021-02-11,CA,500
"Rakuten USA, Inc. DBA Rakuten Americas",2021-01-21,2021-02-11,CA,500
Jet Aviation,2020-12-06,2021-02-10,CA,500
"Abacus Data Systems, Inc.",2020-12-28,2021-02-10,CA,500
"Westlake Hardware, Inc.",2020-08-21,2021-02-10,CA,500
"Sutter Buttes Imaging Medical Group, Inc.",2019-07-01,2021-02-09,CA,500
Southern California Center for Anti-Aging,2020-12-09,2021-02-05,CA,500
Syracuse University,2020-09-24,2021-02-05,CA,500
"Traffic Solutions Corporation, doing business as Statewide Safety Systems ",2018-06-01,2021-02-04,CA,500
The Oakwood School,2020-02-07,2021-02-03,CA,500
Porter & Curtis LLC,2020-02-12,2021-02-02,CA,500
Ardent Credit Union,2020-06-05,2021-02-02,CA,500
San Francisco Conservatory of Music ,2020-05-20,2021-01-29,CA,500
SN Servicing Corporation,2020-10-14,2021-01-29,CA,500
Brotherhood’s Relief & Compensation Fund,2021-01-03,2021-01-29,CA,500
Made In Oregon,2020-02-01,2021-01-29,CA,500
"Wind River Systems, Inc.",2020-09-16,2021-01-29,CA,500
"Rochelle Margucci, EA",2020-08-07,2021-01-27,CA,500
Diversified Gas & Oil Corporation ,2020-11-17,2021-01-27,CA,500
"Auris Health, Inc.",2020-03-15,2021-01-27,CA,500
thyssenkrupp Materials,2020-12-28,2021-01-26,CA,500
"Bosley, Inc.",2020-08-17,2021-01-26,CA,500
National Western Life Insurance Company ,2020-08-07,2021-01-25,CA,500
Einstein Healthcare Network,2020-08-05,2021-01-25,CA,500
American Frame Corporation,2020-08-01,2021-01-25,CA,500
Arraycon LLC,2020-12-20,2021-01-22,CA,500
St. Francis Catholic High School,2020-05-01,2021-01-22,CA,500
"Direct Energy LP, together with its affiliates First Choice Power, LLC and Home Warranty of America, Inc.",2020-11-03,2021-01-21,CA,500
Fairmont Private Schools,2020-02-20,2021-01-19,CA,500
Wildwood School,2020-02-20,2021-01-19,CA,500
